cycle_id,status,entry_date,exit_date,quantity,entry_price,exit_price,net_return,decision_id,entry_signal_date,entry_execution_date,entry_factor_score,entry_regime,entry_order_attempts,overlaps_drawdown_1,overlaps_drawdown_2,overlaps_drawdown_3
CYC-A37BBA90FBB784BFAC3F,CLOSED,2025-09-11 00:00:00,2025-10-15,143500,1.285,1.442,0.1210573701476109,DEC-2237429AF14A281BBC98,2025-09-10,2025-09-11,0.3041865121002152,trend,1,False,False,False
CYC-D38D888866893624A4E1,CLOSED,2025-10-27 10:30:00,2025-10-31,139500,1.487,1.478,-0.0070459054265739,DEC-7BE5338EB31433093074,2025-10-24,2025-10-27,0.3037795592828951,trend,1,False,False,False
CYC-4A411629F932A4D2E395,CLOSED,2025-12-02 00:00:00,2025-12-05,151500,1.355,1.349,-0.0054231186989529,DEC-9A956D36D5E33AC48169,2025-12-01,2025-12-02,0.1751566378929571,range,1,False,False,False
CYC-76DD9BB67B8C475A8339,CLOSED,2025-12-09 00:00:00,2025-12-12,148900,1.366,1.35,-0.0127008238194228,DEC-E1FB04F5EA55609ACDCB,2025-12-08,2025-12-09,0.3904415451839953,range,2,False,False,False
CYC-13A161118CF3AF629B07,CLOSED,2025-12-18 00:00:00,2025-12-25,149800,1.34,1.374,0.0243482736243818,DEC-1C14C8F47615E04C474E,2025-12-17,2025-12-18,0.1973383891512478,range,1,False,False,False
CYC-154EF24A8BE6FC9708E9,CLOSED,2025-12-26 00:00:00,2026-01-30,150600,1.374,1.534,0.1153324356744478,DEC-4737247C1446A7D603CE,2025-12-25,2025-12-26,0.2727789699628273,range,1,False,False,False
CYC-7213674A24793F81B09F,CLOSED,2026-02-26 10:00:00,2026-03-03,153700,1.503,1.496,-0.0056521971881655,DEC-77EAF7DB077128FA66E1,2026-02-25,2026-02-26,0.2228945272689707,trend,1,False,False,False
CYC-F31C4EEE1F6E698FB71B,CLOSED,2026-04-02 00:00:00,2026-06-02,173300,1.318,1.705,0.2923337269149946,DEC-C653759306514B1D4E6C,2026-04-01,2026-04-02,0.1751566378929571,range,1,False,False,False
CYC-776879255E0EB79615FC,CLOSED,2026-06-10 00:00:00,2026-06-15,174300,1.69,1.723,0.0185076101002754,DEC-ABC5DD4D3978EBFE0280,2026-06-09,2026-06-10,0.1879636621785496,range,1,False,False,False
CYC-75B1325F2F626AE6C7AC,CLOSED,2026-06-17 00:00:00,2026-07-14,168000,1.771,2.028,0.1439712103293355,DEC-32CE1BE0641684CDBEEE,2026-06-16,2026-06-17,0.320363518503,trend,1,False,False,False
CYC-9AE04700F46C25EEFD8C,CLOSED,2026-08-05 00:00:00,2026-08-17,208300,1.649,1.758,0.0650350991878228,DEC-4FBFCDF4B0441AC3A8D7,2026-08-04,2026-08-05,0.1914332726043683,range,1,False,False,False
CYC-9E39B48B4BBAE4D155C3,CLOSED,2026-08-24 10:00:00,2026-08-27,217000,1.692,1.679,-0.0086750360044564,DEC-10992522865013620D7C,2026-08-21,2026-08-24,0.1752272286371557,range,1,False,False,False
