factor,factor_kind,year,horizon,active_n,control_n,active_return,control_return,return_delta,active_mae,control_mae,mae_delta,active_max_drawdown,control_max_drawdown,max_drawdown_delta
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,2022,20,153,89,-0.02485183544714734,-0.0070901193204335865,-0.017761716126713754,-0.0735085014386447,-0.056677149384538064,-0.01683135205410663,-0.09210793407899849,-0.07822808085308224,-0.013879853225916255
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,2022,60,153,89,-0.06616995337374351,0.012577548491923867,-0.07874750186566738,-0.1598023633920248,-0.09468583941773177,-0.06511652397429303,-0.19542240148958717,-0.12687804460345145,-0.06854435688613572
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,2023,5,156,81,-0.0005735471044791886,-0.007596130492356793,0.007022583387877604,-0.012543788327173915,-0.021125830778003955,0.00858204245083004,-0.019930106433089827,-0.02740709656498128,0.007476990131891452
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,2023,20,154,68,-0.015214830603857468,-0.009780909894886627,-0.0054339207089708404,-0.04030884263295964,-0.04399689310840708,0.0036880504754474366,-0.058310406285791386,-0.060543843725481966,0.0022334374396905804
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,2023,60,140,42,-0.044786094215161325,-0.05063728652469341,0.005851192309532086,-0.0841320820853936,-0.07706306728625319,-0.007069014799140419,-0.12240693263496993,-0.11373136415316513,-0.008675568481804799
state__raw__daily__cxt_second_bs_V240524__di_1::二买,event,2021,5,0,243,,-0.00042856950384098934,,,-0.017010038677950232,,,-0.025680371382171267,
state__raw__daily__cxt_second_bs_V240524__di_1::二买,event,2021,20,0,243,,-0.0050164357582616215,,,-0.04425950509275702,,,-0.06416172919040564,
state__raw__daily__cxt_second_bs_V240524__di_1::二买,event,2021,60,0,243,,-0.016625928924663875,,,-0.09777521714744351,,,-0.12958286493416263,
state__raw__daily__cxt_second_bs_V240524__di_1::二买,event,2022,5,3,239,0.004925299672659089,-0.005648568183922487,0.010573867856581577,-0.01989663085866337,-0.022492317524185665,0.0025956866655222934,-0.01989663085866337,-0.03156852292685206,0.01167189206818869
state__raw__daily__cxt_second_bs_V240524__di_1::二买,event,2022,20,3,239,0.015228743690062626,-0.018740743405867448,0.033969487095930076,-0.04263088585098285,-0.06762834459323674,0.024997458742253897,-0.04991731490163287,-0.08746887516864518,0.03755156026701231
state__raw__daily__cxt_second_bs_V240524__di_1::二买,event,2022,60,3,239,-0.09489653594706404,-0.03648498511531524,-0.0584115508317488,-0.17150021437774787,-0.13540711574905723,-0.036093098628690645,-0.21343813753461918,-0.16967137650631872,-0.04376676102830046
state__raw__daily__cxt_second_bs_V240524__di_1::二买,event,2023,5,4,233,0.0023728343888256564,-0.0030654560331972373,0.005438290422022894,-0.0171437611890142,-0.015448275653654054,-0.0016954855353601469,-0.0171437611890142,-0.02257723768484738,0.00543347649583318
state__raw__daily__cxt_second_bs_V240524__di_1::二买,event,2023,20,3,219,0.02362871268436288,-0.014059689150225702,0.03768840183458858,-0.025413250939724092,-0.041658039927069825,0.016244788987345733,-0.04371811967857131,-0.05920378804707275,0.015485668368501439
state__raw__daily__cxt_second_bs_V240524__di_1::二买,event,2023,60,2,180,0.034190039397225536,-0.047028885016411996,0.08121892441363754,-0.011214046813173562,-0.08329284569084107,0.07207879887766751,-0.13005050505050503,-0.12029770474015397,-0.009752800310351056
state__raw__daily__cxt_second_bs_V240524__di_1::二卖,event,2021,5,1,242,-0.07697160883280751,-0.00011227595289484665,-0.07685933287991267,-0.07697160883280751,-0.0167622635946657,-0.06020934523814181,-0.07697160883280751,-0.025468424119978558,-0.051503184712828956
state__raw__daily__cxt_second_bs_V240524__di_1::二卖,event,2021,20,1,242,-0.10851735015772868,-0.004588746029338204,-0.10392860412839047,-0.1236593059936908,-0.043931406741926714,-0.07972789925176407,-0.1236593059936908,-0.06391587143502016,-0.059743434558670636
state__raw__daily__cxt_second_bs_V240524__di_1::二卖,event,2021,60,1,242,-0.05615141955835956,-0.016462600450970918,-0.03968881910738864,-0.14258675078864347,-0.09759004552082699,-0.044996705267816475,-0.14258675078864347,-0.12952912986864823,-0.013057620919995239
state__raw__daily__cxt_second_bs_V240524__di_1::二卖,event,2022,5,2,240,0.004256746930744515,-0.005598939128337441,0.009855686059081957,-0.009593668581720949,-0.022567360182053846,0.012973691600332897,-0.023536336471397967,-0.03148955916312848,0.007953222691730516
state__raw__daily__cxt_second_bs_V240524__di_1::二卖,event,2022,20,2,240,-0.033520458491680116,-0.01819296052478655,-0.015327497966893568,-0.04427884101545193,-0.0675104555554401,0.023231614539988163,-0.058118081180811965,-0.0872440706152061,0.029125989434394137
state__raw__daily__cxt_second_bs_V240524__di_1::二卖,event,2022,60,2,240,-0.024545284113109078,-0.037314627009063815,0.012769342895954737,-0.11448362742469881,-0.13603264188461886,0.02154901445992005,-0.12730627306273068,-0.17057150354786899,0.043265230485138306
state__raw__daily__cxt_second_bs_V240524__di_1::二卖,event,2023,5,4,233,0.008955429542663706,-0.003178461958585015,0.01213389150124872,-0.014895827279669038,-0.015486866793728647,0.0005910395140596089,-0.016852787634849625,-0.022582232938996128,0.005729445304146503
state__raw__daily__cxt_second_bs_V240524__di_1::二卖,event,2023,20,4,218,0.02266113898372879,-0.014214818081565394,0.03687595706529419,-0.02467348918488832,-0.04174613091792621,0.017072641733037887,-0.044310711053561075,-0.059263949986836706,0.014953238933275631
state__raw__daily__cxt_second_bs_V240524__di_1::二卖,event,2023,60,3,179,0.008616619724745181,-0.047054017225329293,0.05567063695007447,-0.058254224814951606,-0.08290713767336808,0.02465291285841647,-0.1167841613641597,-0.12046556077785614,0.00368139941369644
state__raw__daily__cxt_second_bs_V240524__di_1::其他,state,2021,5,238,5,0.00048199570765555436,-0.04377147357107647,0.04425346927873202,-0.016247673377029096,-0.05329862700179635,0.03705095362476725,-0.025100155927977465,-0.05329862700179635,0.028198471073818884
state__raw__daily__cxt_second_bs_V240524__di_1::其他,state,2021,20,238,5,-0.0033938956244847157,-0.08224934612604243,0.0788554505015577,-0.043277640334779856,-0.0909962675724697,0.04771862723768985,-0.06359530395639754,-0.09112357032919154,0.027528266372794
state__raw__daily__cxt_second_bs_V240524__di_1::其他,state,2021,60,238,5,-0.01656822662903156,-0.01937255819676187,0.0028043315677303074,-0.09754381987376953,-0.10878972737432649,0.011245907500556956,-0.13001706563679352,-0.1089149114889321,-0.021102154147861416
state__raw__daily__cxt_second_bs_V240524__di_1::其他,state,2022,5,227,15,-0.006461191665798134,0.008763907413111964,-0.0152250990789101,-0.023419750688814283,-0.00793802496636816,-0.015481725722446124,-0.032268801558314755,-0.018636594557078882,-0.013632207001235873
state__raw__daily__cxt_second_bs_V240524__di_1::其他,state,2022,20,227,15,-0.02015287832710853,0.009423462488100295,-0.029576340815208824,-0.07017240345680055,-0.024128762042853413,-0.04604364141394714,-0.08910754006205575,-0.05516010106162914,-0.033947439000426606
state__raw__daily__cxt_second_bs_V240524__di_1::其他,state,2022,60,227,15,-0.034725114813537857,-0.07479999918189613,0.04007488436835827,-0.13438394317019609,-0.15810974716822768,0.02372580399803159,-0.16782662751149247,-0.20634193016701557,0.03851530265552311
state__raw__daily__cxt_second_bs_V240524__di_1::其他,state,2023,5,203,34,-0.005664634946842341,0.013092969883215925,-0.018757604830058266,-0.017234489357436295,-0.004982998014643603,-0.012251491342792692,-0.024065345904041767,-0.013053123729559357,-0.01101222217448241
state__raw__daily__cxt_second_bs_V240524__di_1::其他,state,2023,20,189,33,-0.023488615533811517,0.04336856212254654,-0.06685717765635805,-0.045582117259276037,-0.017706979843766478,-0.02787513741550956,-0.06167489020459521,-0.043643324020489455,-0.018031566184105757
state__raw__daily__cxt_second_bs_V240524__di_1::其他,state,2023,60,154,28,-0.05435078617924498,-0.000957076876999272,-0.053393709302245705,-0.08991574524025268,-0.041718412534958095,-0.04819733270529459,-0.11928228139454679,-0.12657916173459008,0.007296880340043291
state__raw__daily__cxt_third_bs_V230318__di_1::三卖,event,2021,5,5,238,0.011735130992233245,-0.0006841094302291034,0.012419240422462348,-0.0043460342767341455,-0.017276089190580827,0.012930054913846682,-0.013587822458169474,-0.025934416527633487,0.012346594069464013
state__raw__daily__cxt_third_bs_V230318__di_1::三卖,event,2021,20,5,238,0.02568696598386371,-0.005661465206625599,0.03134843119048931,-0.015345260813809292,-0.0448669471994576,0.02952168638564831,-0.0335445977323956,-0.06480494623784282,0.03126034850544722
state__raw__daily__cxt_third_bs_V230318__di_1::三卖,event,2021,60,5,238,-0.09739799800054279,-0.014929036717187427,-0.08246896128335536,-0.11412710732210452,-0.09743169004293385,-0.016695417279170663,-0.1626116234811887,-0.12888898345208225,-0.033722640029106465
state__raw__daily__cxt_third_bs_V230318__di_1::三卖,event,2022,5,0,242,,-0.005517487177435939,,,-0.02246013959031556,,,-0.031423830049973685,
state__raw__daily__cxt_third_bs_V230318__di_1::三卖,event,2022,20,0,242,,-0.018319634061703026,,,-0.06731845874106003,,,-0.08700335995872352,
state__raw__daily__cxt_third_bs_V230318__di_1::三卖,event,2022,60,0,242,,-0.03720909524959311,,,-0.13585455085602446,,,-0.17021393965956208,
state__raw__daily__cxt_third_bs_V230318__di_1::三卖,event,2023,5,3,234,-0.03115943576545262,-0.002612314576424341,-0.02854712118902828,-0.03516234697360402,-0.015224513808276234,-0.019937833165327788,-0.03901412345437105,-0.022273628440010185,-0.016740495014360868
state__raw__daily__cxt_third_bs_V230318__di_1::三卖,event,2023,20,3,219,-0.01798513615283215,-0.013489636426428512,-0.004495499726403637,-0.06114180483630771,-0.041168607681911155,-0.019973197154396556,-0.07483744194185556,-0.058777495961274344,-0.016059945980581213
state__raw__daily__cxt_third_bs_V230318__di_1::三卖,event,2023,60,2,180,-0.03979638468569102,-0.046206813637712923,0.0064104289520219015,-0.09683648959515367,-0.08234148521548573,-0.014495004379667942,-0.12110597525157685,-0.12039708840458653,-0.000708886846990317
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,2021,5,215,28,-0.00065553849474448,0.0013142281048822424,-0.0019697665996267224,-0.017639164764634976,-0.012179249083763841,-0.005459915680871135,-0.026278654716262773,-0.021086410066825757,-0.005192244649437017
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,2021,20,215,28,-0.0045992986568792,-0.008219452786733786,0.003620154129854586,-0.04582081013263677,-0.03227091282225177,-0.013549897310385,-0.06583408266851425,-0.051320443554928756,-0.01451363911358549
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,2021,60,215,28,-0.0007380733817983529,-0.1386219625573813,0.13788388917558295,-0.09051014100961113,-0.1535606232057994,0.06305048219618828,-0.1228290063785496,-0.18144285027190563,0.05861384389335603
