factor,factor_kind,endpoint,direction,conditional_effect,closest_reference,max_abs_correlation
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型__age_1_3,state,max_drawdown_20,-1,-0.009398664948331453,raw__30m__cxt_third_buy_V230228__di_1,0.26146907393154734
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下盘背__exit,event,return_20,-1,-0.011730894138731521,raw__daily__cxt_bi_status_V230101,0.14046386397351046
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第3次|任意__onset,event,max_drawdown_20,-1,-0.01660489676942354,raw__30m__cxt_bi_status_V230101,0.1417418304902636
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第3次|任意__exit,event,max_drawdown_20,-1,-0.021495268521302326,raw__30m__cxt_bi_status_V230101,0.11589137370003116
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__v1::新低__exit,event,return_20,-1,-0.01039997955601611,raw__30m__cxt_bi_status_V230101,0.18805569892837037
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__v1::新高__age_1_3,state,return_20,-1,-0.008923667814797755,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.21955294642388884
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第4次__onset,event,return_20,-1,-0.023076892722812783,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.0734190651752491
dynamic__state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第4次__exit,event,return_20,-1,-0.019638987093133137,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.0734190651752491
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|5笔|任意__onset,event,return_20,1,0.010876651798427882,raw__30m__cxt_bi_status_V230101,0.1430188538500031
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|7笔|任意__onset,event,return_20,1,0.050966792102723875,raw__30m__cxt_bi_status_V230101,0.10625441602910424
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|7笔|任意__exit,event,max_drawdown_20,1,0.008320687642574619,raw__daily__cxt_bi_status_V230101,0.06386618936164941
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::下跌|5笔|任意__onset,event,return_20,-1,-0.030419307175983134,raw__30m__cxt_bi_status_V230101,0.1139022827144957
dynamic__state__raw__30m__zdy_zs_V230423__di_1__joint::下跌|5笔|任意__exit,event,return_20,-1,-0.028861119155910296,raw__daily__cxt_bi_status_V230101,0.09228236773182395
dynamic__state__raw__30m__zdy_zs_V230423__di_1__v2::7笔__onset,event,max_drawdown_20,1,0.014335095070671228,raw__weekly__cxt_bi_status_V230101,0.052951612311070664
dynamic__state__raw__30m__zdy_zs_space_V230421__di_1__joint::上涨|5笔|任意__onset,event,return_20,1,0.03292427094942002,raw__30m__cxt_bi_status_V230101,0.1389327855971833
dynamic__state__raw__daily__byi_bi_end_V230106__di_1__joint::看空|强|任意__exit,event,return_20,-1,-0.04281377745056125,raw__daily__cxt_bi_status_V230101,0.11932172639024194
dynamic__state__raw__daily__byi_bi_end_V230106__di_1__v1::看空__exit,event,return_20,-1,-0.04179005686201977,raw__daily__cxt_bi_status_V230101,0.12355987702862868
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__joint::向上|其他|任意__exit,event,max_drawdown_20,1,0.015617252567992786,raw__30m__cxt_bi_status_V230101,0.09491388616167776
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__joint::向上|其他|任意__age_1_3,state,max_drawdown_20,1,0.01483406909048876,raw__daily__cxt_bi_status_V230101,0.27101740232066734
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__v1::向上__age_1_3,state,max_drawdown_20,1,0.005868155551575035,raw__daily__cxt_bi_status_V230101,0.539658743288771
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__v1::向上__age_4_8,state,max_drawdown_20,1,0.00839164938176842,raw__daily__cxt_bi_status_V230101,0.37211337342632955
dynamic__state__raw__daily__byi_fx_num_V230628__di_1__v2::满足__exit,event,return_20,-1,-0.009778892718609091,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.027139544199430193
