factor,reason
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看多|反向分型|任意__age_1_3,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看多|同向分型|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看多|同向分型|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看空|反向分型|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看空|反向分型|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看空|反向分型|任意__age_1_3,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看空|同向分型|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看空|同向分型|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__v1::看多__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__v1::看空__onset,cross_year_direction
