split_id,training_blocks,validation_blocks,selected_candidate,training_sharpe,validation_sharpe,validation_rank,validation_candidate_count,validation_percentile,logit
116,"(0, 4, 5, 8, 9)","(1, 2, 3, 6, 7)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.130165142714666,0.6841490522252704,2,6,0.8,1.3862943611198908
117,"(0, 4, 6, 7, 8)","(1, 2, 3, 5, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.0425711953713241,0.5646610918462565,3,6,0.6,0.4054651081081642
118,"(0, 4, 6, 7, 9)","(1, 2, 3, 5, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.7330192941476253,1.0936045661063531,1,6,1.0,2.3978952727983702
119,"(0, 4, 6, 8, 9)","(1, 2, 3, 5, 7)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.854134599669229,0.9874876613407406,2,6,0.8,1.3862943611198908
120,"(0, 4, 7, 8, 9)","(1, 2, 3, 5, 6)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.8398239939690698,0.9919227416651735,2,6,0.8,1.3862943611198908
121,"(0, 5, 6, 7, 8)","(1, 2, 3, 4, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.1476749133640358,0.6393929033593343,2,6,0.8,1.3862943611198908
122,"(0, 5, 6, 7, 9)","(1, 2, 3, 4, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.9946919971963883,0.8367654215117812,2,6,0.8,1.3862943611198908
123,"(0, 5, 6, 8, 9)","(1, 2, 3, 4, 7)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.0939884727558467,0.6991336263726962,2,6,0.8,1.3862943611198908
124,"(0, 5, 7, 8, 9)","(1, 2, 3, 4, 6)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.0962695775045272,0.7298366077438339,2,6,0.8,1.3862943611198908
125,"(0, 6, 7, 8, 9)","(1, 2, 3, 4, 5)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.8132488136073568,1.0245508096796205,2,6,0.8,1.3862943611198908
126,"(1, 2, 3, 4, 5)","(0, 6, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.0592560354762235,0.5114655906579249,2,6,0.8,1.3862943611198908
127,"(1, 2, 3, 4, 6)","(0, 5, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.1766830920712774,0.4098273573505164,3,6,0.6,0.4054651081081642
128,"(1, 2, 3, 4, 7)","(0, 5, 6, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.3505519610514787,0.40649928223547827,3,6,0.6,0.4054651081081642
129,"(1, 2, 3, 4, 8)","(0, 5, 6, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.1939289188889348,0.4622723318462172,3,6,0.6,0.4054651081081642
130,"(1, 2, 3, 4, 9)","(0, 5, 6, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.6716610287574257,0.8790624533940846,2,6,0.8,1.3862943611198908
131,"(1, 2, 3, 5, 6)","(0, 4, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.0089742662608174,0.4996966601738354,2,6,0.8,1.3862943611198908
132,"(1, 2, 3, 5, 7)","(0, 4, 6, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.0979752545688333,0.47349608350042904,2,6,0.8,1.3862943611198908
133,"(1, 2, 3, 5, 8)","(0, 4, 6, 7, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.0936045661063531,0.7330192941476253,1,6,1.0,2.3978952727983702
134,"(1, 2, 3, 5, 9)","(0, 4, 6, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,1.0341667173493956,-0.11535324200454496,4,6,0.4,-0.4054651081081643
135,"(1, 2, 3, 6, 7)","(0, 4, 5, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.2159503043600766,0.3723278941662511,3,6,0.6,0.4054651081081642
136,"(1, 2, 3, 6, 8)","(0, 4, 5, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.1052778049984957,0.4370754071019709,3,6,0.6,0.4054651081081642
137,"(1, 2, 3, 6, 9)","(0, 4, 5, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.6633213098575931,0.9196119506681929,2,6,0.8,1.3862943611198908
138,"(1, 2, 3, 7, 8)","(0, 4, 5, 6, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.2370418580746467,0.4274102523547682,3,6,0.6,0.4054651081081642
139,"(1, 2, 3, 7, 9)","(0, 4, 5, 6, 8)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.7132993923825139,0.8433655131545439,2,6,0.8,1.3862943611198908
140,"(1, 2, 3, 8, 9)","(0, 4, 5, 6, 7)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.7289993403453905,1.0829033240660382,1,6,1.0,2.3978952727983702
141,"(1, 2, 4, 5, 6)","(0, 3, 7, 8, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.9767390604517107,0.8670836648876289,1,6,1.0,2.3978952727983702
142,"(1, 2, 4, 5, 7)","(0, 3, 6, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9692920231689292,0.06242540785423827,3,6,0.6,0.4054651081081642
143,"(1, 2, 4, 5, 8)","(0, 3, 6, 7, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.0714863007871995,0.7483611940291526,2,6,0.8,1.3862943611198908
144,"(1, 2, 4, 5, 9)","(0, 3, 6, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,1.0327604958934111,-0.10066579296361233,3,6,0.6,0.4054651081081642
145,"(1, 2, 4, 6, 7)","(0, 3, 5, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.9699303003941064,0.6077891781560931,3,6,0.6,0.4054651081081642
146,"(1, 2, 4, 6, 8)","(0, 3, 5, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.8723487651394926,0.6860916311636754,2,6,0.8,1.3862943611198908
147,"(1, 2, 4, 6, 9)","(0, 3, 5, 7, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.6381033151002539,1.2395656479847086,1,6,1.0,2.3978952727983702
148,"(1, 2, 4, 7, 8)","(0, 3, 5, 6, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.9673017247897809,0.6464630042702018,2,6,0.8,1.3862943611198908
149,"(1, 2, 4, 7, 9)","(0, 3, 5, 6, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.5739266429334122,1.200829762362948,1,6,1.0,2.3978952727983702
150,"(1, 2, 4, 8, 9)","(0, 3, 5, 6, 7)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.7131644069499149,1.1041262472298368,2,6,0.8,1.3862943611198908
151,"(1, 2, 5, 6, 7)","(0, 3, 4, 8, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.9407390907463293,0.9094510523906146,1,6,1.0,2.3978952727983702
152,"(1, 2, 5, 6, 8)","(0, 3, 4, 7, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.0422760691803352,0.7789892319528859,2,6,0.8,1.3862943611198908
153,"(1, 2, 5, 6, 9)","(0, 3, 4, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9836822549383301,-0.21886266771522592,3,6,0.6,0.4054651081081642
154,"(1, 2, 5, 7, 8)","(0, 3, 4, 6, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,1.0597207855165496,-0.09195659719960045,3,6,0.6,0.4054651081081642
