mechanism,event_date,component_participation_score,component_flow_score,primary_market_score,pricing_efficiency_score,coordinated_demand_score,threshold
COORDINATED_DEMAND_Q60,2024-12-17,0.29583333333333334,0.38333333333333336,0.85,0.975,0.6260416666666667,0.57125
COORDINATED_DEMAND_Q60,2024-12-25,0.9291666666666667,0.9166666666666666,0.21666666666666667,0.9666666666666667,0.7572916666666667,0.5677083333333333
COORDINATED_DEMAND_Q60,2025-01-07,0.18333333333333335,0.7,0.825,0.7833333333333333,0.6229166666666667,0.5650000000000001
COORDINATED_DEMAND_Q60,2025-01-14,0.5666666666666667,0.6916666666666667,0.39166666666666666,0.6083333333333334,0.5645833333333333,0.5472916666666667
COORDINATED_DEMAND_Q60,2025-01-20,0.725,0.65,0.35833333333333334,0.6166666666666667,0.5875,0.5472916666666667
COORDINATED_DEMAND_Q60,2025-01-27,0.6541666666666667,0.7833333333333333,0.7916666666666666,0.775,0.7510416666666666,0.5472916666666667
COORDINATED_DEMAND_Q60,2025-02-18,0.6541666666666667,0.7083333333333334,0.38333333333333336,0.675,0.6052083333333333,0.5352083333333333
COORDINATED_DEMAND_Q60,2025-02-24,0.85,0.9,0.016666666666666666,0.5833333333333333,0.5874999999999999,0.5306249999999999
COORDINATED_DEMAND_Q60,2025-03-04,0.2666666666666667,0.3333333333333333,0.875,0.925,0.6000000000000001,0.5306249999999999
COORDINATED_DEMAND_Q60,2025-03-11,0.6375,0.5583333333333333,0.775,0.35,0.5802083333333333,0.5306249999999999
COORDINATED_DEMAND_Q60,2025-03-17,0.6541666666666667,0.8333333333333334,0.7333333333333333,0.16666666666666663,0.5968749999999999,0.526875
COORDINATED_DEMAND_Q60,2025-04-02,0.5125,0.575,0.7083333333333334,0.33333333333333337,0.5322916666666667,0.52125
COORDINATED_DEMAND_Q60,2025-04-09,0.7250000000000001,0.9416666666666667,1.0,0.08333333333333337,0.6875000000000001,0.52125
COORDINATED_DEMAND_Q60,2025-04-15,0.7458333333333333,0.20833333333333334,0.6833333333333333,0.7416666666666667,0.5947916666666667,0.5260416666666666
COORDINATED_DEMAND_Q60,2025-04-24,0.375,0.35833333333333334,0.7333333333333333,0.8166666666666667,0.5708333333333333,0.5260416666666666
COORDINATED_DEMAND_Q60,2025-04-30,0.4291666666666667,0.6166666666666667,0.9166666666666666,0.5083333333333333,0.6177083333333333,0.526875
COORDINATED_DEMAND_Q60,2025-05-09,0.6375,0.65,0.8166666666666667,0.2416666666666667,0.5864583333333334,0.526875
COORDINATED_DEMAND_Q60,2025-05-15,0.6083333333333333,0.6916666666666667,0.5916666666666667,0.275,0.5416666666666666,0.526875
COORDINATED_DEMAND_Q60,2025-06-06,0.875,0.8833333333333333,0.2916666666666667,0.05833333333333335,0.5270833333333333,0.524375
COORDINATED_DEMAND_Q60,2025-06-13,0.37083333333333335,0.35833333333333334,0.7666666666666667,0.6333333333333333,0.5322916666666667,0.5254166666666666
COORDINATED_DEMAND_Q60,2025-06-19,0.6166666666666667,0.7583333333333333,0.55,0.9583333333333334,0.7208333333333333,0.5260416666666666
COORDINATED_DEMAND_Q60,2025-06-25,0.8666666666666667,0.925,0.44166666666666665,0.85,0.7708333333333334,0.5260416666666666
COORDINATED_DEMAND_Q60,2025-07-01,0.9583333333333334,0.9333333333333333,0.2,0.8,0.7229166666666667,0.5264583333333334
COORDINATED_DEMAND_Q60,2025-07-09,0.7291666666666667,0.95,0.16666666666666666,0.8,0.6614583333333334,0.5275
COORDINATED_DEMAND_Q60,2025-07-16,0.625,0.475,0.8083333333333333,0.95,0.7145833333333333,0.528125
COORDINATED_DEMAND_Q60,2025-07-22,0.6666666666666667,0.5583333333333333,0.6416666666666667,0.95,0.7041666666666666,0.5275
COORDINATED_DEMAND_Q60,2025-07-28,0.9041666666666666,0.825,0.10833333333333334,0.825,0.6656249999999999,0.5293749999999999
COORDINATED_DEMAND_Q60,2025-08-05,0.5375,0.8333333333333334,0.125,0.95,0.6114583333333333,0.5293749999999999
