behavior_hash,trial_id,year,cagr,total_return,maximum_drawdown,calmar,closed_trades,order_count,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio
997ea60a206c57ab71b8fc71e4cc4f270ec9a981005d577c421db5389f453e5f,S007-EX09-WEIGHTED-SCORE-00975,2022,-0.0472788871249491,-0.045446047082154606,-0.15623509909514488,-0.3026137365980544,33,66,8.0,6.0,0.30578512396694213
997ea60a206c57ab71b8fc71e4cc4f270ec9a981005d577c421db5389f453e5f,S007-EX09-WEIGHTED-SCORE-00975,2023,0.08541975781176481,0.08189500249515502,-0.07593048437031658,1.124973171449409,23,47,5.0,3.0,0.30165289256198347
997ea60a206c57ab71b8fc71e4cc4f270ec9a981005d577c421db5389f453e5f,S007-EX09-WEIGHTED-SCORE-00975,2024,0.5129949095373916,0.48833624946825127,-0.15253394330417824,3.363152478883954,31,62,8.0,6.0,0.49173553719008267
997ea60a206c57ab71b8fc71e4cc4f270ec9a981005d577c421db5389f453e5f,S007-EX09-WEIGHTED-SCORE-00975,2025,0.3571234459935515,0.34240310511623995,-0.10762651461154671,3.3181734750261764,21,43,5.0,3.0,0.37448559670781895
997ea60a206c57ab71b8fc71e4cc4f270ec9a981005d577c421db5389f453e5f,S007-EX09-WEIGHTED-SCORE-00975,2026,1.001133178276271,0.561987031367936,-0.1808872742621045,5.534569429276907,21,42,9.0,5.0,0.42592592592592593
003fa564a60c4470591691ed72f1d62274e9f82017d97c4e9b4afead8450b072,S007-EX09-WEIGHTED-SCORE-01152,2021,0.02219213545398291,0.021391143045448313,-0.07708896648658992,0.28787693577190926,26,52,8.0,4.0,0.36213991769547327
003fa564a60c4470591691ed72f1d62274e9f82017d97c4e9b4afead8450b072,S007-EX09-WEIGHTED-SCORE-01152,2022,-0.014735030431013763,-0.014154465295384777,-0.14552912097105453,-0.10125142193323997,33,66,8.0,6.0,0.30578512396694213
003fa564a60c4470591691ed72f1d62274e9f82017d97c4e9b4afead8450b072,S007-EX09-WEIGHTED-SCORE-01152,2023,0.07315098218308957,0.0701486991096607,-0.09191949784588593,0.7958157289516091,22,45,4.0,2.0,0.33884297520661155
003fa564a60c4470591691ed72f1d62274e9f82017d97c4e9b4afead8450b072,S007-EX09-WEIGHTED-SCORE-01152,2024,0.3736378290224016,0.3564416664901495,-0.159521295950669,2.342244192511744,33,66,9.0,7.0,0.512396694214876
003fa564a60c4470591691ed72f1d62274e9f82017d97c4e9b4afead8450b072,S007-EX09-WEIGHTED-SCORE-01152,2025,0.4860735107868386,0.46519691907696914,-0.10762651461154671,4.516298911483009,22,45,5.0,4.0,0.40329218106995884
003fa564a60c4470591691ed72f1d62274e9f82017d97c4e9b4afead8450b072,S007-EX09-WEIGHTED-SCORE-01152,2026,1.0044307277800968,0.563641198971728,-0.1808872742621046,5.552799288272112,19,38,9.0,4.0,0.4506172839506173
