trade_date,opening_return,opening_efficiency,late_return,late_efficiency,opening_signal_time,late_signal_time,OPENING_SELLOFF_REVERSAL_score,OPENING_BREAKOUT_CONTINUATION_score,LATE_SELLOFF_REVERSAL_score,LATE_BREAKOUT_CONTINUATION_score,OPENING_SELLOFF_REVERSAL_threshold,OPENING_SELLOFF_REVERSAL_raw_event,OPENING_BREAKOUT_CONTINUATION_threshold,OPENING_BREAKOUT_CONTINUATION_raw_event,LATE_SELLOFF_REVERSAL_threshold,LATE_SELLOFF_REVERSAL_raw_event,LATE_BREAKOUT_CONTINUATION_threshold,LATE_BREAKOUT_CONTINUATION_raw_event
2021-03-03,-0.00580130529369105,0.11399860634694799,0.004341534008682979,0.18784741146521483,2021-03-03 10:30:00,2021-03-03 15:00:00,0.00580130529369105,0.0,0.0,0.0008155459253192951,,False,,False,,False,,False
2021-03-04,-0.010144927536231751,0.23281650503648768,0.0,0.0,2021-03-04 10:30:00,2021-03-04 15:00:00,0.010144927536231751,0.0,-0.0,0.0,,False,,False,,False,,False
2021-03-05,0.0007418397626111073,0.01368992236181684,-0.0021994134897361795,0.0696637716096783,2021-03-05 10:30:00,2021-03-05 15:00:00,0.0,1.0155728755054695e-05,0.0021994134897361795,0.0,,False,,False,,False,,False
2021-03-08,-0.009537784299339602,0.24443795700196208,-0.013615733736762503,0.49718373576196234,2021-03-08 10:30:00,2021-03-08 15:00:00,0.009537784299339602,0.0,0.013615733736762503,0.0,,False,,False,,False,,False
2021-03-09,-0.015337423312883458,0.17541175866250197,-0.014051522248243575,0.330805057639919,2021-03-09 10:30:00,2021-03-09 15:00:00,0.015337423312883458,0.0,0.014051522248243575,0.0,,False,,False,,False,,False
2021-03-10,-0.00783699059561127,0.1038089134294911,0.0007911392405062223,0.025668041644444927,2021-03-10 10:30:00,2021-03-10 15:00:00,0.00783699059561127,0.0,0.0,2.0306994971868244e-05,,False,,False,,False,,False
2021-03-11,0.003144654088050425,0.05696380993674039,0.0,0.0,2021-03-11 10:30:00,2021-03-11 15:00:00,0.0,0.00017913147778849807,-0.0,0.0,,False,,False,,False,,False
2021-03-12,-0.010023130300693794,0.21910141667309185,0.0,0.0,2021-03-12 10:30:00,2021-03-12 15:00:00,0.010023130300693794,0.0,-0.0,0.0,,False,,False,,False,,False
2021-03-15,-0.010140405616224757,0.15134007488354662,0.002405773857257376,0.08557450962480609,2021-03-15 10:30:00,2021-03-15 15:00:00,0.010140405616224757,0.0,0.0,0.0002058729181029782,,False,,False,,False,,False
2021-03-16,-0.0031999999999999806,0.06251570658593529,-0.0008025682182984939,0.03446553610301583,2021-03-16 10:30:00,2021-03-16 15:00:00,0.0031999999999999806,0.0,0.0008025682182984939,0.0,,False,,False,,False,,False
2021-03-17,0.008842443729903504,0.16022259694248694,0.000794281175536149,0.03703372971116284,2021-03-17 10:30:00,2021-03-17 15:00:00,0.0,0.00141675929772295,0.0,2.9415194369470425e-05,,False,,False,,False,,False
2021-03-18,0.005546751188589383,0.11548817770325723,0.002373417721518889,0.09683581038023198,2021-03-18 10:30:00,2021-03-18 15:00:00,0.0,0.0006405841869435639,0.0,0.00022983182843408536,,False,,False,,False,,False
2021-03-19,0.010375099760574713,0.1837712243850735,0.0023961661341851404,0.07318476121107588,2021-03-19 10:30:00,2021-03-19 15:00:00,0.0,0.001906644786118098,0.0,0.0001753628463524063,,False,,False,,False,,False
2021-03-22,0.008778930566640142,0.17606208346009655,0.0,0.0,2021-03-22 10:30:00,2021-03-22 15:00:00,0.0,0.0015456368061141893,-0.0,0.0,,False,,False,,False,,False
2021-03-23,0.0031520882584712417,0.06924262286226782,-0.0023696682464455776,0.0964855357348458,2021-03-23 10:30:00,2021-03-23 15:00:00,0.0,0.00021825885850990676,0.0023696682464455776,0.0,,False,,False,,False,,False
2021-03-24,-0.002382843526608336,0.0508964083492849,0.0,0.0,2021-03-24 10:30:00,2021-03-24 15:00:00,0.002382843526608336,0.0,-0.0,0.0,,False,,False,,False,,False
2021-03-25,0.004823151125401992,0.0882889808364777,-0.0016012810248198228,0.05548507856434777,2021-03-25 10:30:00,2021-03-25 15:00:00,0.0,0.0004258310972820523,0.0016012810248198228,0.0,,False,,False,,False,,False
2021-03-26,0.004796163069544335,0.11150389091020436,0.0023474178403755097,0.07701866081964372,2021-03-26 10:30:00,2021-03-26 15:00:00,0.0,0.0005347908436940224,0.0,0.00018079497844986195,,False,,False,,False,,False
2021-03-29,0.0,0.0,-0.0007836990595612159,0.02326468401610216,2021-03-29 10:30:00,2021-03-29 15:00:00,-0.0,0.0,0.0007836990595612159,0.0,,False,,False,,False,,False
2021-03-30,0.007861635220125729,0.17909715352303018,0.0007867820613691734,0.028582977963609986,2021-03-30 10:30:00,2021-03-30 15:00:00,0.0,0.001407996489960919,0.0,2.2488574322278722e-05,,False,,False,,False,,False
2021-03-31,-0.0023659305993691815,0.056624364423549206,0.0047355958958168465,0.21463566236151244,2021-03-31 10:30:00,2021-03-31 15:00:00,0.0023659305993691815,0.0,0.0,0.0010164277617751088,,False,,False,,False,,False
2021-04-01,0.01256873527101332,0.277628522459308,0.0015515903801397446,0.058903941055264405,2021-04-01 10:30:00,2021-04-01 15:00:00,0.0,0.0034894394024736187,0.0,9.13947882936668e-05,,False,,False,,False,,False
2021-04-02,0.016949152542372836,0.3368240402017661,0.001512859304084735,0.045491251190327334,2021-04-02 10:30:00,2021-04-02 15:00:00,0.0,0.005708882037318054,0.0,6.882186261774248e-05,,False,,False,,False,,False
2021-04-06,-0.005275056518462606,0.10122213127060391,0.0,0.0,2021-04-06 10:30:00,2021-04-06 15:00:00,0.005275056518462606,0.0,-0.0,0.0,,False,,False,,False,,False
2021-04-07,-0.002272727272727315,0.05436469666503705,0.0060606060606061,0.17422486533219234,2021-04-07 10:30:00,2021-04-07 15:00:00,0.002272727272727315,0.0,0.0,0.0010559082747405664,,False,,False,,False,,False
2021-04-08,-0.002271006813020393,0.04612643536070497,-0.005287009063444148,0.2117369826327492,2021-04-08 10:30:00,2021-04-08 15:00:00,0.002271006813020393,0.0,0.005287009063444148,0.0,,False,,False,,False,,False
2021-04-09,-0.008352315869400107,0.1797309626920323,-0.0023112480739599928,0.09671157676269593,2021-04-09 10:30:00,2021-04-09 15:00:00,0.008352315869400107,0.0,0.0023112480739599928,0.0,,False,,False,,False,,False
2021-04-12,-0.003088803088803105,0.05558584356457348,-0.007818608287724738,0.22612837194636118,2021-04-12 10:30:00,2021-04-12 15:00:00,0.003088803088803105,0.0,0.007818608287724738,0.0,,False,,False,,False,,False
2021-04-13,0.010260457774269982,0.20089888952302556,-0.002358490566037874,0.09070755272037732,2021-04-13 10:30:00,2021-04-13 15:00:00,0.0,0.002061314572848734,0.002358490566037874,0.0,,False,,False,,False,,False
2021-04-14,0.003933910306845201,0.08806146305584674,0.0007818608287726292,0.03227594292580846,2021-04-14 10:30:00,2021-04-14 15:00:00,0.0,0.00034642589715126336,0.0,2.523529548539068e-05,,False,,False,,False,,False
2021-04-15,-0.002349256068911454,0.05442187949894383,0.0015527950310558758,0.05553274710518018,2021-04-15 10:30:00,2021-04-15 15:00:00,0.002349256068911454,0.0,0.0,8.623097376580634e-05,,False,,False,,False,,False
2021-04-16,-0.0038699690402477227,0.06645155757759999,-0.002302379125095899,0.09074828227425075,2021-04-16 10:30:00,2021-04-16 15:00:00,0.0038699690402477227,0.0,0.002302379125095899,0.0,,False,,False,,False,,False
2021-04-19,0.011538461538461497,0.2636336484336908,0.0022692889561271024,0.09687802737269507,2021-04-19 10:30:00,2021-04-19 15:00:00,0.0,0.0030419267126964213,0.0,0.00021984423760823606,,False,,False,,False,,False
2021-04-20,0.003030303030302939,0.05730224598153922,-0.0060422960725075026,0.22120051238025223,2021-04-20 10:30:00,2021-04-20 15:00:00,0.0,0.00017364316964102268,0.0060422960725075026,0.0,,False,,False,,False,,False
2021-04-21,-0.0038138825324178782,0.08753199771999375,0.0007627765064837089,0.03452445998204842,2021-04-21 10:30:00,2021-04-21 15:00:00,0.0038138825324178782,0.0,0.0,2.6334446973343506e-05,,False,,False,,False,,False
2021-04-22,0.009908536585365724,0.20129057771586625,0.0,0.0,2021-04-22 10:30:00,2021-04-22 15:00:00,0.0,0.0019944950535870634,-0.0,0.0,,False,,False,,False,,False
2021-04-23,0.007524454477050524,0.22792398913237427,0.0014992503748125774,0.07144761650855168,2021-04-23 10:30:00,2021-04-23 15:00:00,0.0,0.0017150036804543085,0.0,0.0001071178658299114,,False,,False,,False,,False
2021-04-26,0.013462976813762184,0.3021726784609112,-0.004457652303120341,0.10715495054039594,2021-04-26 10:30:00,2021-04-26 15:00:00,0.0,0.004068143763871664,0.004457652303120341,0.0,,False,,False,,False,,False
2021-04-27,-0.010447761194029903,0.18807972290845848,-0.005216095380029873,0.17897259477528482,2021-04-27 10:30:00,2021-04-27 15:00:00,0.010447761194029903,0.0,0.005216095380029873,0.0,,False,,False,,False,,False
2021-04-28,0.004480955937266717,0.10722358004407806,0.002971768202080227,0.14325102591313282,2021-04-28 10:30:00,2021-04-28 15:00:00,0.0,0.0004804641376135047,0.0,0.0004257088437240188,,False,,False,,False,,False
2021-04-29,-0.001480384900074072,0.025690908854772578,0.000741289844329307,0.032314295373285847,2021-04-29 10:30:00,2021-04-29 15:00:00,0.001480384900074072,0.0,0.0,2.395425898687431e-05,,False,,False,,False,,False
2021-04-30,-0.0014858841010401136,0.03697074419624666,0.0029739776951673846,0.091126989153934,2021-04-30 10:30:00,2021-04-30 15:00:00,0.0014858841010401136,0.0,0.0,0.0002710096331715599,,False,,False,,False,,False
2021-05-06,-0.005200594353640509,0.10114611194211987,-0.002989536621823663,0.1111086025201822,2021-05-06 10:30:00,2021-05-06 15:00:00,0.005200594353640509,0.0,0.002989536621823663,0.0,,False,,False,,False,,False
2021-05-07,-0.006001500375093727,0.12099440836124217,-0.005376344086021612,0.16999247736591344,2021-05-07 10:30:00,2021-05-07 15:00:00,0.006001500375093727,0.0,0.005376344086021612,0.0,,False,,False,,False,,False
