dt,symbol,open,high,low,close,vol,amount
2022-08-11,510500.SH,7.265,7.379,7.253,7.376,117069562.0,858080651.0
2022-08-12,510500.SH,7.37,7.4,7.353,7.363,85272200.0,628859243.0
2022-08-15,510500.SH,7.337,7.407,7.321,7.373,197757300.0,1458406727.0
2022-08-16,510500.SH,7.384,7.439,7.364,7.392,109748728.0,812316540.0
2022-08-17,510500.SH,7.395,7.453,7.353,7.44,138733890.0,1027785690.0
2022-08-18,510500.SH,7.431,7.431,7.38,7.413,80847300.0,598810969.0
2022-08-19,510500.SH,7.4,7.423,7.311,7.315,119389058.0,879109913.0
2022-08-22,510500.SH,7.308,7.418,7.275,7.407,88715084.0,653942628.0
2022-08-23,510500.SH,7.4,7.414,7.36,7.409,115008260.0,849223572.0
2022-08-24,510500.SH,7.409,7.415,7.178,7.197,157894586.0,1147800159.0
2022-08-25,510500.SH,7.196,7.24,7.14,7.236,142968637.0,1028828394.0
2022-08-26,510500.SH,7.228,7.303,7.195,7.22,98183120.0,711104798.0
2022-08-29,510500.SH,6.2,6.31,6.199,6.3,198028513.0,1243370988.0
2022-08-30,510500.SH,6.3,6.31,6.243,6.291,183534979.0,1153092428.0
2022-08-31,510500.SH,6.27,6.286,6.139,6.157,234010869.0,1449546434.0
2022-09-01,510500.SH,6.15,6.207,6.113,6.135,98092405.0,605082195.0
2022-09-02,510500.SH,6.12,6.18,6.118,6.146,171678561.0,1056194492.0
2022-09-05,510500.SH,6.136,6.185,6.112,6.177,160317177.0,987346025.0
2022-09-06,510500.SH,6.18,6.288,6.18,6.283,164844032.0,1030073051.0
2022-09-07,510500.SH,6.264,6.314,6.253,6.299,103698198.0,652201029.0
2022-09-08,510500.SH,6.305,6.308,6.27,6.277,145157410.0,912197124.0
2022-09-09,510500.SH,6.275,6.327,6.256,6.315,162508960.0,1024964818.0
2022-09-13,510500.SH,6.331,6.351,6.285,6.299,171915915.0,1085475444.0
2022-09-14,510500.SH,6.23,6.277,6.215,6.251,200417289.0,1252419074.0
2022-09-15,510500.SH,6.264,6.278,6.061,6.108,184702458.0,1137139697.0
2022-09-16,510500.SH,6.09,6.109,5.949,5.956,205735741.0,1240121958.0
2022-09-19,510500.SH,5.95,5.961,5.877,5.919,159073285.0,940843676.0
2022-09-20,510500.SH,5.927,6.008,5.927,5.949,144729153.0,862607727.0
2022-09-21,510500.SH,5.93,6.002,5.876,5.979,121469500.0,722336359.0
2022-09-22,510500.SH,5.941,6.017,5.933,5.97,140979579.0,843298402.0
2022-09-23,510500.SH,5.958,5.983,5.834,5.899,205678384.0,1216175074.0
2022-09-26,510500.SH,5.858,5.931,5.8,5.806,339784319.0,1994980601.0
2022-09-27,510500.SH,5.814,5.925,5.813,5.915,240423852.0,1411390482.0
2022-09-28,510500.SH,5.895,5.91,5.773,5.776,203925977.0,1186317967.0
2022-09-29,510500.SH,5.81,5.866,5.747,5.791,242413769.0,1409354548.0
2022-09-30,510500.SH,5.783,5.815,5.711,5.713,156307202.0,900479980.0
2022-10-10,510500.SH,5.721,5.769,5.625,5.647,168606174.0,961786662.0
2022-10-11,510500.SH,5.65,5.714,5.62,5.682,268234684.0,1521015712.0
2022-10-12,510500.SH,5.683,5.825,5.591,5.818,316516593.0,1807866605.0
2022-10-13,510500.SH,5.79,5.877,5.786,5.833,162037781.0,945416295.0
2022-10-14,510500.SH,5.89,6.009,5.866,5.981,254866515.0,1518017161.0
2022-10-17,510500.SH,5.954,6.031,5.951,6.008,160442081.0,961793886.0
2022-10-18,510500.SH,6.035,6.074,5.992,6.035,183606501.0,1107179931.0
2022-10-19,510500.SH,6.02,6.044,5.972,5.984,130656328.0,784782568.0
2022-10-20,510500.SH,5.963,6.052,5.881,5.964,243198439.0,1448199789.0
2022-10-21,510500.SH,5.97,5.999,5.924,5.964,204128235.0,1217579218.0
2022-10-24,510500.SH,5.96,6.08,5.86,5.913,287111935.0,1709693413.0
2022-10-25,510500.SH,5.89,5.94,5.791,5.866,262057719.0,1537242771.0
2022-10-26,510500.SH,5.88,6.031,5.873,5.987,258992446.0,1544497873.0
2022-10-27,510500.SH,6.011,6.036,5.963,5.969,211648155.0,1270523927.0
2022-10-28,510500.SH,5.943,5.952,5.754,5.779,238438526.0,1395608488.0
2022-10-31,510500.SH,5.769,5.875,5.746,5.814,196079625.0,1138623733.0
2022-11-01,510500.SH,5.824,5.965,5.79,5.959,365777499.0,2156261190.0
2022-11-02,510500.SH,5.95,6.035,5.935,6.002,256482672.00000003,1536462179.0
2022-11-03,510500.SH,5.967,6.025,5.961,6.005,232217560.0,1393256719.0
2022-11-04,510500.SH,6.0,6.175,5.999,6.157,336833282.0,2062291791.0
2022-11-07,510500.SH,6.154,6.179,6.104,6.141,204903372.0,1259058582.0
2022-11-08,510500.SH,6.134,6.15,6.109,6.147,176570074.0,1081977722.0
2022-11-09,510500.SH,6.155,6.196,6.123,6.13,141186767.0,867580136.0
2022-11-10,510500.SH,6.106,6.136,6.067,6.109,200492703.0,1222992995.0
2022-11-11,510500.SH,6.27,6.279,6.137,6.145,425722662.0,2642103690.0
2022-11-14,510500.SH,6.152,6.21,6.119,6.135,259196662.0,1597198501.0
2022-11-15,510500.SH,6.14,6.25,6.127,6.241,297730177.0,1850356936.0
2022-11-16,510500.SH,6.238,6.27,6.201,6.212,208038342.0,1295425715.0
2022-11-17,510500.SH,6.192,6.228,6.161,6.225,329644622.0,2039273639.0
2022-11-18,510500.SH,6.225,6.267,6.198,6.213,465058990.00000006,2896129987.0
2022-11-21,510500.SH,6.165,6.215,6.134,6.206,413988910.0,2559842978.0
2022-11-22,510500.SH,6.185,6.204,6.108,6.14,267496937.0,1645784286.0
2022-11-23,510500.SH,6.101,6.155,6.056,6.129,404002860.0,2470193485.0
2022-11-24,510500.SH,6.14,6.165,6.1,6.13,199374618.0,1222974085.0
2022-11-25,510500.SH,6.11,6.128,6.064,6.098,277236804.0,1691315690.0
2022-11-28,510500.SH,6.021,6.076,5.974,6.071,358876825.0,2168839380.0
2022-11-29,510500.SH,6.087,6.195,6.086,6.171,380485720.0,2342485408.0
2022-11-30,510500.SH,6.169,6.185,6.13,6.157,205076321.0,1263332453.0
2022-12-01,510500.SH,6.24,6.248,6.186,6.19,218641816.0,1359689566.0
2022-12-02,510500.SH,6.194,6.227,6.171,6.175,205040860.0,1269756824.0
2022-12-05,510500.SH,6.216,6.233,6.186,6.218,389476546.0,2420516580.0
2022-12-06,510500.SH,6.214,6.264,6.188,6.215,205020371.0,1276605927.0
2022-12-07,510500.SH,6.207,6.255,6.189,6.207,251485917.0,1563067206.0
