factor,reason
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合2次|任意,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合2次|底重合0次|任意,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合2次|底重合1次|任意,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合3次|底重合0次|任意,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合3次|底重合1次|任意,state_active_support
state__raw__30m__cxt_overlap_V240612__di_1__v1::压力,state_active_support
state__raw__30m__cxt_overlap_V240612__di_1__v1::支撑,state_active_support
state__raw__30m__cxt_overlap_V240612__di_1__v2::顺畅笔底分型,state_active_support
state__raw__30m__cxt_overlap_V240612__di_1__v2::顺畅笔顶分型,state_active_support
state__raw__30m__cxt_overlap_V240612__di_1__joint::压力|顺畅笔底分型|任意,state_active_support
state__raw__30m__cxt_overlap_V240612__di_1__joint::压力|顺畅笔顶分型|任意,state_active_support
state__raw__30m__cxt_overlap_V240612__di_1__joint::支撑|顺畅笔底分型|任意,state_active_support
state__raw__30m__cxt_overlap_V240612__di_1__joint::支撑|顺畅笔顶分型|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::10笔震荡,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::11笔震荡,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::12笔震荡,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::2笔震荡,cross_year_direction
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::4笔震荡,cross_year_direction
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::5笔震荡,cross_year_direction
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::7笔震荡,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::8笔震荡,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::9笔震荡,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__v2::向上,minimum_absolute_effect
state__raw__30m__cxt_range_oscillation_V230620__di_1__v2::向下,cross_year_direction
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::10笔震荡|向上|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::10笔震荡|向下|任意,state_active_support
