candidate_id,first_front_count,mean_pareto_layer,worst_pareto_layer
1485,2,6.6,13
1486,0,22.2,31
1487,0,9.8,23
1488,0,16.2,20
1489,0,9.0,18
1490,0,4.8,10
1491,1,7.0,18
1492,1,5.0,11
1493,0,22.4,33
1494,0,6.6,11
1495,0,11.2,21
1496,1,6.0,10
1497,0,23.4,29
1498,0,8.4,19
1499,0,24.6,35
1500,2,5.6,19
1501,0,13.4,21
1502,0,7.4,11
1503,0,10.4,17
1504,0,10.0,17
1505,0,11.2,31
1506,1,7.8,16
1507,0,7.6,17
1508,1,7.2,13
1509,0,10.8,12
1510,0,11.0,25
1511,0,5.6,9
