object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,weights
weight,trend,delta=+0.05,2024,0.06821503071757551,0.2055862563639479,0.13737122564637239,0.429718323504386,0.8244806845908438,0.3947623610864578,0.46676855274790513,25,0.45454545454545453,-0.1823154056517775,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2025,0.5165797353772803,0.4473501085939564,-0.0692296267833239,2.1935321360904703,2.0150246512233565,-0.17850748486711376,0.3493390835301548,19,0.654320987654321,-0.13690346751518812,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2021H1,0.24893799167194453,0.24893799167194453,0.0,3.071835242807882,3.071835242807882,0.0,0.0,5,0.6440677966101694,-0.070445854346318,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2021H2,-0.19785984963082448,-0.14536780352506629,0.052492046105758194,-2.7932256547119008,-2.2764094023087833,0.5168162524031175,0.391097609039493,21,0.568,-0.17029709957195682,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2022H1,-0.06477702515250938,0.04630794366340796,0.11108496881591734,-0.7230789850675907,0.7254985472584836,1.4485775323260743,0.999999999999996,13,0.4700854700854701,-0.0854180176971977,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2022H2,-0.004512956055262585,0.017442249207329175,0.02195520526259176,0.027823439228323324,0.36430733740270593,0.3364838981743826,0.576613737761093,13,0.496,-0.07853962266736636,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2023H1,0.0509484040161825,0.07177182304986318,0.02082341903368068,0.7678236149964333,1.04110220036177,0.2732785853653368,0.5600717513091215,18,0.7457627118644068,-0.07822196306516183,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2023H2,-0.10632026926329408,-0.06862083552634068,0.03769943373695339,-2.295242649962902,-1.5912144703692825,0.7040281795936196,0.4178431277922672,13,0.3709677419354839,-0.07805054174871007,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2024H1,-0.09485536840967668,-0.04020162383281167,0.054653744576865004,-1.2263976900051408,-0.5406359233230692,0.6857617666820716,0.8582803987989517,12,0.47863247863247865,-0.08766782107561466,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2024H2,0.18015949433488965,0.25608282562247786,0.07592333128758821,1.0655359885390128,1.3680109266372538,0.302474938098241,0.446787506443163,13,0.432,-0.1823154056517774,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2025H1,0.03483459850082471,0.048477294454624786,0.013642695953800077,0.5727132492529325,0.7680097617023879,0.19529651244945534,0.45694983083321333,13,0.5641025641025641,-0.11073819295342435,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2025H2,0.466221134770592,0.381082859270226,-0.08513827550036601,3.257468496072225,2.8371094604762574,-0.42035903559596743,0.764390510946998,7,0.7380952380952381,-0.13690346751518845,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,volume_position,delta=-0.05,2021,0.0029406556554447683,0.053285916886737894,0.050345261231293126,0.13294054781997158,0.4700532299348157,0.33711268211484413,0.37409596583948435,25,0.5967078189300411,-0.1821669550859497,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2022,-0.07098337536211052,0.07661831985256495,0.14760169521467548,-0.3925555936985177,0.6370395335320825,1.0295951272306003,0.5332998687228274,23,0.48760330578512395,-0.0854180176971977,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2023,-0.06031910763728798,-0.012207298899779784,0.0481118087375082,-0.3898777490492146,-0.01067350210889496,0.3792042469403196,0.24553110583347978,31,0.5413223140495868,-0.15008655197040954,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2024,0.06821503071757551,0.2055862563639479,0.13737122564637239,0.429718323504386,0.8244806845908438,0.3947623610864578,0.46676855274790513,25,0.45454545454545453,-0.1823154056517775,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2025,0.5165797353772803,0.4681523569365267,-0.04842737844075362,2.1935321360904703,2.0899933386009204,-0.10353879748954986,0.26368741452190547,17,0.6419753086419753,-0.13690346751518812,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2021H1,0.24893799167194453,0.24893799167194453,0.0,3.071835242807882,3.071835242807882,0.0,0.0,5,0.6440677966101694,-0.070445854346318,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2021H2,-0.19785984963082448,-0.15759430132871344,0.04026554830211104,-2.7932256547119008,-2.5118745480205518,0.281351106691349,0.37409596583948307,21,0.552,-0.18216695508594827,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
