candidate_id,structure_share,trend_share,volume_share,is_control,range_to_range_count,range_to_range_loss_count,range_to_range_loss_rate,range_to_range_short_loss_count,range_to_range_compound_return,range_to_range_median_holding_sessions,range_to_range_fees,range_to_trend_count,range_to_trend_loss_count,range_to_trend_loss_rate,range_to_trend_short_loss_count,range_to_trend_compound_return,range_to_trend_median_holding_sessions,range_to_trend_fees,trend_to_range_count,trend_to_range_loss_count,trend_to_range_loss_rate,trend_to_range_short_loss_count,trend_to_range_compound_return,trend_to_range_median_holding_sessions,trend_to_range_fees,trend_to_trend_count,trend_to_trend_loss_count,trend_to_trend_loss_rate,trend_to_trend_short_loss_count,trend_to_trend_compound_return,trend_to_trend_median_holding_sessions,trend_to_trend_fees,range_days,range_transition_count,range_signal_density_per_100,first_front_count,mean_pareto_layer,worst_pareto_layer,max_drawdown,calmar,win_loss_ratio,strategy_return,sharpe,exposure,trade_count
19,0.275,0.125,0.6,False,12,7,0.5833333333333334,5,-0.04012341967178412,7.5,10617.60161558173,12,9,0.75,4,-0.25313820088454775,11.5,9865.813653934505,6,1,0.16666666666666666,1,0.2818349042471855,21.5,4958.626708828788,23,17,0.7391304347826086,14,0.3876716389736634,8.0,20452.993444708038,592,43,7.263513513513513,0,21.5,27,-0.42388316600441256,0.12905384970435171,2.35680681594006,0.29195281278430274,0.3324459111681969,0.6575907590759076,109
20,0.275,0.15,0.575,False,15,11,0.7333333333333333,8,-0.21407924755286112,6.0,13442.471404392938,7,5,0.7142857142857143,2,-0.04853590067453917,18.0,5887.686541253958,6,1,0.16666666666666666,1,0.2818349042471857,21.5,4969.485669616223,23,17,0.7391304347826086,14,0.38767163897366475,8.0,20784.8211328169,592,44,7.4324324324324325,0,17.0,27,-0.3920379458527987,0.16323101538989634,2.748847250851262,0.34760363078310963,0.36752652059608315,0.6361386138613861,105
21,0.275,0.175,0.55,False,16,13,0.8125,9,-0.3408013723933343,7.0,14864.353123868612,6,4,0.6666666666666666,2,0.08263617328298234,19.5,5140.232203467668,6,1,0.16666666666666666,1,0.30296405102049095,21.5,5200.470847288292,23,17,0.7391304347826086,14,0.3876716389736641,8.0,21487.80028349086,592,45,7.601351351351352,0,14.25,24,-0.3530418397994334,0.16095471070202086,2.940057027235095,0.3044904392513008,0.3414202251143234,0.6344884488448845,105
22,0.275,0.2,0.525,False,26,22,0.8461538461538461,17,-0.4083065965958744,5.5,24323.900623925463,5,3,0.6,2,0.13994292176580414,22.0,4547.4285039395345,8,3,0.375,3,0.17795285016625706,19.0,7224.364735149624,21,15,0.7142857142857143,14,0.724259194683641,7.0,20555.7878767168,592,66,11.14864864864865,1,8.25,16,-0.3131395461545181,0.22372449224769467,3.5325639585506985,0.3849472041027606,0.39282671622269805,0.6014851485148515,123
23,0.275,0.225,0.5,False,30,25,0.8333333333333334,20,-0.38950719376034026,4.0,28326.788250352256,5,3,0.6,2,0.12015606295019698,22.0,4653.685781073556,8,3,0.375,3,0.16203456840725394,19.0,7429.112162979705,21,15,0.7142857142857143,14,0.724259194683643,7.0,20883.200710420882,592,74,12.5,0,11.0,16,-0.35152454908350395,0.1993973049677275,3.5946455832135373,0.38517169724592204,0.3941250589817456,0.5915841584158416,131
24,0.275,0.25,0.475,False,36,30,0.8333333333333334,26,-0.33951377008003747,4.0,36144.43542309198,5,3,0.6,2,0.12811415605437104,22.0,4799.5054591399,8,4,0.5,4,0.1263476729115347,14.0,7609.158945988453,21,15,0.7142857142857143,14,0.7242591946836432,7.0,21649.3140914732,592,86,14.527027027027026,0,5.5,10,-0.3161323330577396,0.2603649593710508,4.232229539830149,0.4629004030674624,0.44224857699620795,0.5783828382838284,143
25,0.275,0.275,0.45,False,34,29,0.8529411764705882,25,-0.32034962466605843,4.0,35344.015165765435,5,3,0.6,2,0.12811415605437082,22.0,4919.6318668411495,9,5,0.5555555555555556,5,0.07514656850214663,10.0,8697.612687903646,20,14,0.7,13,0.8063726270678795,7.5,21516.890189752125,592,83,14.020270270270272,2,4.0,9,-0.30862443002515005,0.2876164236844688,4.531485457112415,0.50534676270459,0.4679529393312865,0.5618811881188119,139
26,0.275,0.3,0.425,False,32,26,0.8125,23,-0.2491022143748015,3.5,36625.607873825036,5,2,0.4,1,0.15587112399155,18.0,5209.657725214024,10,6,0.6,6,0.06866374192086289,8.5,10343.355392877615,19,13,0.6842105263157895,12,0.8284344643683779,7.0,22219.93282994383,592,80,13.513513513513514,0,5.0,9,-0.23681271859156627,0.5008877009035275,4.236590292664871,0.7144847938716135,0.5812927822794918,0.5420792079207921,135
27,0.275,0.325,0.4,False,30,26,0.8666666666666667,23,-0.27089083653166146,3.0,34166.67088541216,4,1,0.25,1,0.20113103601292703,17.0,4220.361042822096,10,6,0.6,6,0.06866374192086266,8.5,10417.002100308267,19,13,0.6842105263157895,12,0.8284344643683779,7.0,22436.820212360803,592,75,12.66891891891892,3,1.25,2,-0.22136821161439046,0.5552766604728789,4.71023946919178,0.7464451584944678,0.5991451319469865,0.5214521452145214,129
28,0.275,0.35,0.375,False,26,22,0.8461538461538461,22,-0.2115045178257693,3.0,29970.60384214212,4,1,0.25,1,0.20113103601292726,17.0,4319.463597845859,12,6,0.5,5,0.1129733513809843,12.5,13012.582226115233,19,13,0.6842105263157895,12,0.6720442554051127,7.0,22967.3304659068,592,69,11.655405405405405,0,4.0,5,-0.22482152200690464,0.5774944675735127,3.9721363579004216,0.7987618410449038,0.6268364460680488,0.504950495049505,125
