kind,id,name,information_family,status,provider,version
signal,SIG-CZSC-cxt_bi_end_V230324,cxt_bi_end_V230324,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_end_V230618,cxt_bi_end_V230618,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_end_V230815,cxt_bi_end_V230815,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_status_V230101,cxt_bi_status_V230101,MARKET_STRUCTURE,READY,czsc,1
signal,SIG-CZSC-cxt_bi_status_V230102,cxt_bi_status_V230102,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_stop_V230815,cxt_bi_stop_V230815,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_trend_V230824,cxt_bi_trend_V230824,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_trend_V230913,cxt_bi_trend_V230913,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_zdf_V230601,cxt_bi_zdf_V230601,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bs_V240526,cxt_bs_V240526,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bs_V240527,cxt_bs_V240527,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_decision_V240526,cxt_decision_V240526,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_decision_V240612,cxt_decision_V240612,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_decision_V240613,cxt_decision_V240613,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_decision_V240614,cxt_decision_V240614,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_double_zs_V230311,cxt_double_zs_V230311,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_eleven_bi_V230622,cxt_eleven_bi_V230622,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_first_buy_V221126,cxt_first_buy_V221126,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_first_sell_V221126,cxt_first_sell_V221126,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_five_bi_V230619,cxt_five_bi_V230619,MARKET_STRUCTURE,READY,czsc,1
signal,SIG-CZSC-cxt_fx_power_V221107,cxt_fx_power_V221107,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_intraday_V230701,cxt_intraday_V230701,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_nine_bi_V230621,cxt_nine_bi_V230621,MARKET_STRUCTURE,DISCOVERED,czsc,1
