left_signal_id,left_name,left_family,right_signal_id,right_name,right_family,nmi,near_redundant
SIG-30M-8496D83608BCE4DC,byi_fx_num_V230628,OTHER_TECHNICAL,SIG-30M-945C914C75D7CF9F,cxt_bi_end_V230324,STRUCTURE,0.26286450277328766,False
SIG-30M-F66D4BEF6AEF637A,xl_bar_position_V240328,OTHER_TECHNICAL,SIG-30M-E5AE9A83EB877E10,tas_ma_base_V221101,TREND_MOMENTUM,0.2627479937053011,False
SIG-30M-F0D83E53E4EF7922,cxt_fx_power_V221107,STRUCTURE,SIG-30M-E5AE9A83EB877E10,tas_ma_base_V221101,TREND_MOMENTUM,0.2621263057152915,False
SIG-30M-EDA4CA09BFFD9B6B,zdy_macd_dif_iqr_V230521,OTHER_TECHNICAL,SIG-30M-A7271D31A8FD954E,tas_boll_power_V221112,TREND_MOMENTUM,0.26212495102170985,False
SIG-30M-D9D10E2B1B6B6E74,bar_single_V230214,TREND_MOMENTUM,SIG-30M-503B24C255FFAADB,bar_single_V230506,TREND_MOMENTUM,0.2607634240685035,False
SIG-30M-A9E943E431C115D2,bar_classify_V240606,TREND_MOMENTUM,SIG-30M-4D26215BA9B6CE1A,bar_classify_V240607,TREND_MOMENTUM,0.25894024423710826,False
SIG-30M-CB5BD470E25B32F0,adtm_up_dw_line_V230603,OTHER_TECHNICAL,SIG-30M-BF09ECD9ABCE55A0,xl_bar_trend_V240330,OTHER_TECHNICAL,0.25869484711566365,False
SIG-30M-770956D737EC6834,bar_big_solid_V230215,TREND_MOMENTUM,SIG-30M-1BCB885FB8958A9F,tas_double_ma_V221203,TREND_MOMENTUM,0.25831253358801975,False
SIG-30M-F4D660C3603EB1FE,ntmdk_V230824,OTHER_TECHNICAL,SIG-30M-0D20B698553AEE56,bar_polyfit_V240428,TREND_MOMENTUM,0.25787372377857837,False
SIG-30M-757887E0D0A362BB,zdy_macd_V230519,OTHER_TECHNICAL,SIG-30M-DBCF1773F1530589,tas_macd_power_V221108,TREND_MOMENTUM,0.25722901579240237,False
SIG-30M-B0420C9CADFCFB03,cxt_bi_end_V230618,STRUCTURE,SIG-30M-F2AEB6424AC435E2,cxt_decision_V240526,STRUCTURE,0.25623960903989584,False
SIG-30M-6FD7E2EE42E77B3A,xl_bar_trend_V240331,OTHER_TECHNICAL,SIG-30M-A7271D31A8FD954E,tas_boll_power_V221112,TREND_MOMENTUM,0.255357634750762,False
SIG-30M-BF09ECD9ABCE55A0,xl_bar_trend_V240330,OTHER_TECHNICAL,SIG-30M-6FD7E2EE42E77B3A,xl_bar_trend_V240331,OTHER_TECHNICAL,0.2532858894963544,False
SIG-30M-F4D660C3603EB1FE,ntmdk_V230824,OTHER_TECHNICAL,SIG-30M-6FD7E2EE42E77B3A,xl_bar_trend_V240331,OTHER_TECHNICAL,0.2518913665807862,False
SIG-30M-341F4E12849B6CEA,jcc_fen_shou_xian_V20221113,STRUCTURE,SIG-30M-D9D10E2B1B6B6E74,bar_single_V230214,TREND_MOMENTUM,0.251610516877376,False
