event_id,signal_date,event_type,factor_score,family,candidate_id,pressure_position,pressure,baseline_position,before_position,after_position,close,sma_5,sma_20,close_location,down_volume_share,reason
PositionRisk:intraday_C0.35_V0.60_P0.50:20230316:Exit,2023-03-16,Exit,-0.11939215997427535,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.014,1.0228,1.01885,0.1,0.5609504638719465,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20230317:Entry,2023-03-17,Entry,0.452425656300279,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.037,1.027,1.02015,0.7999999999999965,0.17210591951981383,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20230421:Exit,2023-04-21,Exit,-0.2499275380347785,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.142,1.1607999999999998,1.13455,0.05769230769230556,0.8206539192757684,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20230428:Entry,2023-04-28,Entry,0.23833269437641957,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.112,1.1036000000000001,1.14065,0.9285714285714286,0.09700422087587367,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20230504:Reduce,2023-05-04,Reduce,0.07091269506915526,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.088,1.0974000000000002,1.13985,0.1600000000000007,0.8447512107602353,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20230508:Exit,2023-05-08,Exit,-0.16696837373513299,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.083,1.0894000000000001,1.1327,0.7777777777777778,0.45275340161583183,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20230515:Entry,2023-05-15,Entry,0.19075648061556194,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.049,1.0488000000000002,1.1047,1.0,0.29044271721960996,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20230522:Reduce,2023-05-22,Reduce,0.23833269437641952,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.056,1.0558,1.0807,0.2631578947368464,0.7851658084344172,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20230523:Exit,2023-05-23,Exit,-0.07181594621341772,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.04,1.054,1.0733000000000001,0.07142857142857936,0.7518655576248088,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20230525:Entry,2023-05-25,Entry,0.23742944323215703,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.044,1.0482,1.06425,0.9333333333333402,0.3205223772542972,champion entry
