lag,is_observed,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count
58,False,0.40616254469677227,0.7049348152889021,-0.1690529983089798,4.169904245060984,1.8415631270145973,7,6,1,True,2.177579824694007,0.5714285714285714,15
59,False,0.4213117785716205,0.733772196204703,-0.1501408609037549,4.8872251816584065,1.9126347312589462,7,5,2,True,2.2674089673261766,0.5714285714285714,15
60,False,0.28405736435378115,0.47896614249718805,-0.1758322106141943,2.7239954546674103,1.9765224774136056,7,5,2,True,1.6922637764042352,0.5714285714285714,15
61,False,0.4140975901348123,0.7200178184564312,-0.1715769117773691,4.196472654728135,1.84690518228298,7,5,2,True,2.317409327865832,0.5714285714285714,15
62,False,0.3077332186301396,0.521870886059955,-0.22566358168942702,2.3126057033792358,2.4171749159422453,7,4,3,True,1.8321939720044886,0.5714285714285714,15
63,False,0.3019335643601264,0.5113199640531358,-0.13980293507092612,3.657433685449653,2.7906034319710367,7,4,3,True,1.705860634059252,0.5714285714285714,15
64,False,0.30180597090970585,0.5110881399364184,-0.18558799160763062,2.7538858280063665,2.2057255436906913,7,4,3,True,1.6719339716275776,0.5714285714285714,15
65,False,0.33161187626163113,0.5655901356355693,-0.1514537621042078,3.7344079656893223,2.2050918775486545,7,4,3,True,1.738307604042313,0.5714285714285714,15
66,False,0.14338726910759836,0.23334690152161275,-0.18639027127043495,1.2519264011534599,2.231190043798256,7,3,4,True,1.008319484548257,0.5714285714285714,15
67,False,-0.021278051786997376,-0.03310388065371528,-0.24711731477714172,-0.1339601827721761,1.6881052937259458,7,3,4,True,0.06730138745508495,0.5714285714285714,15
68,False,0.014962541448942712,0.023518447435043832,-0.2367066684000375,0.09935692810857924,1.1926520214179792,7,4,3,True,0.2780629939538998,0.5714285714285714,15
69,False,0.08074286708869116,0.1292311567629676,-0.21152924379432925,0.6109375443549525,1.2616857111650648,7,4,3,True,0.6562964356742922,0.5714285714285714,15
70,False,-0.0037009304279415067,-0.005786698679818736,-0.17143072412473837,-0.03375531842009926,0.5402570811632347,7,5,2,True,0.18617411873599835,0.5714285714285714,15
