object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2023,-0.06031910763728798,-0.027793616217048123,0.03252549142023986,-0.3898777490492146,-0.13007740444558333,0.2598003446036312,0.3675963201220356,25,0.6198347107438017,-0.18555427198472396
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2024,0.06821503071757551,0.13088317210626044,0.06266814138868493,0.429718323504386,0.6140477842896737,0.18432946078528767,0.5388129828909362,25,0.48760330578512395,-0.2138972973405725
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2025,0.5165797353772803,0.28048635231616514,-0.23609338306111516,2.1935321360904703,1.361750606388088,-0.8317815297023823,0.4295122825774359,23,0.7037037037037037,-0.16610159107692124
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2021H1,0.24893799167194453,0.19879479499926211,-0.05014319667268241,3.071835242807882,2.487216264764677,-0.584618978043205,1.0,7,0.6610169491525424,-0.10776621504815143
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2021H2,-0.19785984963082448,-0.2148404499043549,-0.016980600273530433,-2.7932256547119008,-3.081819997800378,-0.2885943430884774,0.37657972276400353,19,0.664,-0.2366934204794855
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2022H1,-0.06477702515250938,-0.019889503901880823,0.04488752125062856,-0.7230789850675907,-0.11855984824005007,0.6045191368275407,0.0,11,0.5213675213675214,-0.14223980611587184
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2022H2,-0.004512956055262585,-0.005763308243650123,-0.001250352188387538,0.027823439228323324,0.004656092862547083,-0.02316734636577624,0.542872798219755,11,0.544,-0.11154197359916673
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2023H1,0.0509484040161825,0.09406754331228862,0.04311913929610611,0.7678236149964333,1.2988482645217172,0.5310246495252839,0.5129832491902849,11,0.8220338983050848,-0.08433299072200218
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2023H2,-0.10632026926329408,-0.11182766597818261,-0.005507396714888535,-2.295242649962902,-2.608401207501887,-0.3131585575389848,0.9999999999999951,15,0.4274193548387097,-0.12167267157903239
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2024H1,-0.09485536840967668,-0.04020162383281167,0.054653744576865004,-1.2263976900051408,-0.5406359233230692,0.6857617666820716,0.8582803987989517,12,0.47863247863247865,-0.08766782107561466
