object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,value
threshold,exit,exit=0.05,2022,-0.07098337536211052,0.02388344308177448,0.094866818443885,-0.3925555936985177,0.27277768474687497,0.6653332784453927,0.642083662997367,29,0.512396694214876,-0.10496696575328002,inconclusive,0.05
threshold,exit,exit=0.05,2023,-0.06031910763728798,-0.04784482281711344,0.012474284820174542,-0.3898777490492146,-0.29297200315202904,0.09690574589718554,0.6194629036946256,35,0.6115702479338843,-0.17750511360278576,inconclusive,0.05
threshold,exit,exit=0.05,2024,0.06821503071757551,0.13664877591827929,0.06843374520070378,0.429718323504386,0.6272516852495837,0.19753336174519776,0.4495077808522655,31,0.5206611570247934,-0.18231540565177762,inconclusive,0.05
threshold,exit,exit=0.05,2025,0.5165797353772803,0.5450574498920644,0.02847771451478409,2.1935321360904703,2.2934747699696167,0.09994263387914648,0.9999999999999813,25,0.7119341563786008,-0.10857204350213179,inconclusive,0.05
threshold,exit,exit=0.05,2021H1,0.24893799167194453,0.23378784298663602,-0.015150148685308507,3.071835242807882,2.9126156085346873,-0.15921963427319463,0.0,7,0.635593220338983,-0.07044585434631867,inconclusive,0.05
threshold,exit,exit=0.05,2021H2,-0.19785984963082448,-0.1948593253775729,0.0030005242532515908,-2.7932256547119008,-2.741997407743323,0.05122824696857764,0.0,27,0.664,-0.21726842104382527,inconclusive,0.05
threshold,exit,exit=0.05,2022H1,-0.06477702515250938,0.03063302122572198,0.09541004637823136,-0.7230789850675907,0.5204841369105536,1.2435631219781444,0.999999999999996,13,0.48717948717948717,-0.0830829147636587,inconclusive,0.05
threshold,exit,exit=0.05,2022H2,-0.004512956055262585,-0.004425508008791157,8.744804647142779e-05,0.027823439228323324,0.02880859594405892,0.0009851567157355967,1.0,17,0.536,-0.09410443425020698,inconclusive,0.05
threshold,exit,exit=0.05,2023H1,0.0509484040161825,0.0386508424341474,-0.0122975615820351,0.7678236149964333,0.6103938665690258,-0.15742974842740742,1.0,19,0.8389830508474576,-0.10031223521123678,inconclusive,0.05
threshold,exit,exit=0.05,2023H2,-0.10632026926329408,-0.08373507377724232,0.022585195486051757,-2.295242649962902,-1.9134409459432857,0.38180170401961644,0.61946290369463,17,0.3951612903225806,-0.10160755030693791,inconclusive,0.05
threshold,exit,exit=0.05,2024H1,-0.09485536840967668,-0.09485536840967668,0.0,-1.2263976900051408,-1.2263976900051408,0.0,0.0,16,0.5555555555555556,-0.11218947015927683,inconclusive,0.05
threshold,exit,exit=0.05,2024H2,0.18015949433488965,0.25576480956552494,0.0756053152306353,1.0655359885390128,1.356264785516783,0.2907287969777703,0.4495077808522724,15,0.488,-0.18231540565177773,inconclusive,0.05
threshold,exit,exit=0.05,2025H1,0.03483459850082471,0.05426629970234198,0.01943170120151727,0.5727132492529325,0.8299550346064738,0.25724178535354125,0.9999999999999813,15,0.6410256410256411,-0.10857204350213179,inconclusive,0.05
threshold,exit,exit=0.05,2025H2,0.466221134770592,0.466221134770592,0.0,3.257468496072225,3.257468496072225,0.0,0.0,11,0.7777777777777778,-0.10762651461154682,inconclusive,0.05
