omitted_count,omitted_signal_dates,remaining_trades,mean_return_4,mean_return_5,mean_return_6,mean_band_return,mean_peak_advantage
2,2021-03-10|2023-10-11,23,0.009766409510895956,0.013431571911281076,0.013395383515393456,0.012197788312523496,0.0018506753981363713
2,2021-03-10|2023-11-02,23,0.008169422657697465,0.011394550594902512,0.010875417883940955,0.01014646371218031,0.0018721303240833021
2,2021-03-10|2023-12-15,23,0.010002090929872419,0.013173411053001283,0.012717227333832428,0.011964243105568711,0.0018137519211488611
2,2021-03-10|2024-03-14,23,0.008229256676459703,0.011624264365358253,0.01180479535230126,0.010552772131373072,0.0016072383509777722
2,2021-03-10|2024-06-03,23,0.009732259166059942,0.01265346594892569,0.011855115361719725,0.01141361349223512,0.001859778685035857
2,2021-03-10|2024-11-26,23,0.007300006545877036,0.01050425186589782,0.010398283153298927,0.009400847188357929,0.0016551070163098385
2,2021-03-10|2025-01-23,23,0.007858203861596993,0.010155092237695647,0.009339582696997238,0.009117626265429958,0.001556198958398531
2,2021-03-10|2025-03-25,23,0.009728238147378342,0.012687452899943963,0.01241723024248934,0.01161097376327055,0.0016147187050101208
2,2021-03-10|2025-04-24,23,0.0088746896350183,0.01083655596730657,0.010851648122521547,0.01018763124161547,0.000973387088536646
2,2021-03-10|2025-11-20,23,0.00942503411658426,0.012598090259034548,0.01144255015852044,0.011155224844713084,0.002164298121482198
2,2021-03-10|2026-04-02,23,0.007428596990249148,0.01066691747022324,0.009442399473810184,0.009179304644760857,0.002231419238193574
2,2021-03-10|2026-08-03,23,0.006129748306737138,0.009251107407765479,0.008795934917380442,0.008058930210627688,0.001788265795706688
2,2021-05-21|2022-08-04,23,0.0076668068802743525,0.01045007429797729,0.009773435695457048,0.00929677229123623,0.0017299530101115893
2,2021-05-21|2022-10-25,23,0.009424133858232722,0.011923832204259391,0.010918218383879581,0.010755394815457233,0.0017526560832032388
2,2021-05-21|2022-12-02,23,0.009192146164541101,0.012587652412111938,0.011805441542886097,0.01119508003984638,0.00208885855839834
2,2021-05-21|2023-02-17,23,0.008415850593868079,0.012032977287245578,0.011208253627349441,0.010552360502821033,0.002220925176636818
2,2021-05-21|2023-03-06,23,0.010232072927000622,0.013513209940339598,0.012653532999752654,0.012132938622364291,0.00207040697696296
2,2021-05-21|2023-03-20,23,0.00814163283340987,0.011586090474102539,0.010748093931318781,0.01015860574627706,0.002141227091738213
2,2021-05-21|2023-03-29,23,0.00807661038557144,0.011424044879311875,0.010156629463159988,0.009885761576014434,0.0023074249549461605
2,2021-05-21|2023-05-11,23,0.009109056483803953,0.012602878269838646,0.011638337754335551,0.011116757502659384,0.002229181150768893
2,2021-05-21|2023-07-10,23,0.00879646936211688,0.012283980100139275,0.011525209587666506,0.010868553016640888,0.0021231406252475824
2,2021-05-21|2023-07-18,23,0.009181528343518326,0.012276981390130042,0.01143258173677988,0.010963697156809418,0.001969926349980939
2,2021-05-21|2023-09-15,23,0.0097368787137624,0.012440913208270845,0.011770561465467313,0.01131611779583352,0.0016871931186559883
2,2021-05-21|2023-10-11,23,0.00955378140948174,0.013580359951648413,0.01318326726160245,0.012105802874244202,0.0022118356161063184
2,2021-05-21|2023-11-02,23,0.007956794556283248,0.011543338635269849,0.010663301630149951,0.010054478273901015,0.002233290542053249
2,2021-05-21|2023-12-15,23,0.0097894628284582,0.01332219909336862,0.012505111080041424,0.011872257667289417,0.0021749121391188083
2,2021-05-21|2024-03-14,23,0.008016628575045487,0.01177305240572559,0.011592679098510255,0.010460786693093778,0.001968398568947719
2,2021-05-21|2024-06-03,23,0.009519631064645725,0.012802253989293027,0.011642999107928721,0.011321628053955824,0.002220938903005804
2,2021-05-21|2024-11-26,23,0.007087378444462818,0.010653039906265156,0.010186166899507923,0.009308861750078631,0.0020162672342797856
2,2021-05-21|2025-01-23,23,0.007645575760182775,0.010303880278062982,0.009127466443206235,0.009025640827150664,0.001917359176368478
2,2021-05-21|2025-03-25,23,0.009515610045964124,0.012836240940311298,0.012205113988698337,0.011518988324991253,0.0019758789229800677
2,2021-05-21|2025-04-24,23,0.008662061533604081,0.010985344007673906,0.010639531868730543,0.010095645803336176,0.001334547306506593
2,2021-05-21|2025-11-20,23,0.009212406015170043,0.012746878299401885,0.011230433904729437,0.011063239406433788,0.0025254583394521447
