order_id,decision_id,cycle_id,signal_date,execution_date,side,quantity,order_type,limit_price,status,checkpoint
ORD-8F504D62E02DBB0CE7CF,DEC-64BA05CD18CD3C8894B3,CYC-E9C7BC1E3C4F3253317D,2021-12-31,2022-01-04,BUY,6600,MARKETABLE_LIMIT,8.285000000000002,FILLED,OPEN
ORD-363CBD8C9B1859129EB6,DEC-64BA05CD18CD3C8894B3,CYC-E9C7BC1E3C4F3253317D,2021-12-31,2022-01-04,SELL,6600,MARKETABLE_LIMIT,8.240000000000002,FILLED,11:30_CLOSE
ORD-883943A89776B9E9FF5F,DEC-9FAB05038D1C2DE85D33,CYC-2EC5DE7597847288656B,2022-01-17,2022-01-18,BUY,6800,MARKETABLE_LIMIT,8.034999999999998,FILLED,OPEN
ORD-2F2BE6769122345CD480,DEC-9FAB05038D1C2DE85D33,CYC-2EC5DE7597847288656B,2022-01-17,2022-01-18,SELL,6800,MARKETABLE_LIMIT,8.064,FILLED,11:30_CLOSE
ORD-817D00224A748CB26FE6,DEC-5B3E6D1776C9ED403FF4,CYC-5A6E65EC4F2ED71F646F,2022-01-24,2022-01-25,BUY,7000,MARKETABLE_LIMIT,7.828000000000001,FILLED,OPEN
ORD-F6E05054E10217157C0D,DEC-5B3E6D1776C9ED403FF4,CYC-5A6E65EC4F2ED71F646F,2022-01-24,2022-01-25,SELL,7000,MARKETABLE_LIMIT,7.700000000000002,FILLED,11:30_CLOSE
ORD-BFD3C5E6570E8C948856,DEC-CE5DEE554B71AE1CAC82,CYC-AEA163DD61BFD982D854,2022-01-26,2022-01-27,BUY,7000,MARKETABLE_LIMIT,7.6080000000000005,FILLED,OPEN
ORD-30A772F30ED56605AE13,DEC-CE5DEE554B71AE1CAC82,CYC-AEA163DD61BFD982D854,2022-01-26,2022-01-27,SELL,7000,MARKETABLE_LIMIT,7.496,FILLED,11:30_CLOSE
ORD-E1814C8DCECA0FDA4514,DEC-78640C5138D2FEA7686D,CYC-AB5748E3D52711EF55CC,2022-02-08,2022-02-09,BUY,7000,MARKETABLE_LIMIT,7.589000000000001,FILLED,OPEN
ORD-69FA7F172353ECC65B21,DEC-78640C5138D2FEA7686D,CYC-AB5748E3D52711EF55CC,2022-02-08,2022-02-09,SELL,7000,MARKETABLE_LIMIT,7.654000000000001,FILLED,11:30_CLOSE
ORD-A0A45C5EDC57A9895FF5,DEC-06EDF45568D99369500E,CYC-05C3A53715076E2D90D7,2022-02-09,2022-02-10,BUY,6900,MARKETABLE_LIMIT,7.6739999999999995,FILLED,OPEN
ORD-77C663F6950674632D6F,DEC-06EDF45568D99369500E,CYC-05C3A53715076E2D90D7,2022-02-09,2022-02-10,SELL,6900,MARKETABLE_LIMIT,7.679,FILLED,11:30_CLOSE
ORD-8C55BE701DC6E09F4A5C,DEC-29D429CB65DB10F2A54C,CYC-DA238924BB8A48988609,2022-02-18,2022-02-21,BUY,6900,MARKETABLE_LIMIT,7.675,FILLED,OPEN
ORD-2C20D94ED016A098F8BA,DEC-29D429CB65DB10F2A54C,CYC-DA238924BB8A48988609,2022-02-18,2022-02-21,SELL,6900,MARKETABLE_LIMIT,7.6850000000000005,FILLED,11:30_CLOSE
ORD-FE96DAD572BC9998E260,DEC-C88498CA0C0ABF58B2E8,CYC-99BE7F238859FDDF7E17,2022-02-23,2022-02-24,BUY,6900,MARKETABLE_LIMIT,7.702000000000001,FILLED,OPEN
ORD-708CE538E33871CFCFDD,DEC-C88498CA0C0ABF58B2E8,CYC-99BE7F238859FDDF7E17,2022-02-23,2022-02-24,SELL,6900,MARKETABLE_LIMIT,7.669,FILLED,11:30_CLOSE
ORD-B15C5D331A6E80472338,DEC-B55B57F16BDD65880FDD,CYC-292304E308B79181D7A9,2022-03-11,2022-03-14,BUY,7100,MARKETABLE_LIMIT,7.225,FILLED,OPEN
ORD-978EE920175B6E73DB38,DEC-B55B57F16BDD65880FDD,CYC-292304E308B79181D7A9,2022-03-11,2022-03-14,SELL,7100,MARKETABLE_LIMIT,7.212000000000001,FILLED,11:30_CLOSE
ORD-C2558BCB37684F7955AD,DEC-DB4B97F668D69F38353A,CYC-57950C209F0EFA2B38C6,2022-03-16,2022-03-17,BUY,7100,MARKETABLE_LIMIT,7.0,FILLED,OPEN
ORD-DA5BA4031BF9E1649AD8,DEC-DB4B97F668D69F38353A,CYC-57950C209F0EFA2B38C6,2022-03-16,2022-03-17,SELL,7100,MARKETABLE_LIMIT,7.132000000000001,FILLED,11:30_CLOSE
ORD-7B48D6D8F54AFA3E87C7,DEC-DA0EFB63242C018B32F1,CYC-16E68BF4D3D375044CAF,2022-03-18,2022-03-21,BUY,7100,MARKETABLE_LIMIT,7.12,FILLED,OPEN
ORD-D25838F7024C6ADC7148,DEC-DA0EFB63242C018B32F1,CYC-16E68BF4D3D375044CAF,2022-03-18,2022-03-21,SELL,7100,MARKETABLE_LIMIT,7.118,FILLED,11:30_CLOSE
ORD-86D2C699A9B5F24DEB50,DEC-C20897A61F159CD68ECB,CYC-6336788419DE360CA6D1,2022-03-28,2022-03-29,BUY,7100,MARKETABLE_LIMIT,7.06,FILLED,OPEN
ORD-E7C68E6F04B78307F2F4,DEC-C20897A61F159CD68ECB,CYC-6336788419DE360CA6D1,2022-03-28,2022-03-29,SELL,7100,MARKETABLE_LIMIT,7.0120000000000005,FILLED,11:30_CLOSE
ORD-C1E06399A9FD04DBF29A,DEC-80DF9524AD22BA7C6538,CYC-02B432CEC4740F9D3119,2022-03-30,2022-03-31,BUY,7100,MARKETABLE_LIMIT,7.151,FILLED,OPEN
ORD-3C84DD5F6F5AABDB9A6A,DEC-80DF9524AD22BA7C6538,CYC-02B432CEC4740F9D3119,2022-03-30,2022-03-31,SELL,7100,MARKETABLE_LIMIT,7.133000000000001,FILLED,11:30_CLOSE
ORD-5033CA245A8E4DC8E6CC,DEC-3114694362424C93BABD,CYC-B468A5E27DD858887724,2022-04-01,2022-04-06,BUY,7100,MARKETABLE_LIMIT,7.149999999999999,FILLED,OPEN
ORD-A25291EC7A6D5EE06823,DEC-3114694362424C93BABD,CYC-B468A5E27DD858887724,2022-04-01,2022-04-06,SELL,7100,MARKETABLE_LIMIT,7.114999999999998,FILLED,11:30_CLOSE
ORD-AA3C11079138AF8DEBA1,DEC-DA5E7ADE129AF58330C5,CYC-91588071BBC3FC1FB38B,2022-04-12,2022-04-13,BUY,7100,MARKETABLE_LIMIT,6.86,FILLED,OPEN
ORD-0AFE67E90482FD6BD79D,DEC-DA5E7ADE129AF58330C5,CYC-91588071BBC3FC1FB38B,2022-04-12,2022-04-13,SELL,7100,MARKETABLE_LIMIT,6.84,FILLED,11:30_CLOSE
ORD-E1DE86C209D13F94FA96,DEC-0DA1B4A0E745AEBFD04A,CYC-1405AA0DB7A85FC1C2BC,2022-04-14,2022-04-15,BUY,7100,MARKETABLE_LIMIT,6.852,FILLED,OPEN
ORD-215EA0D5E910E95E0CB0,DEC-0DA1B4A0E745AEBFD04A,CYC-1405AA0DB7A85FC1C2BC,2022-04-14,2022-04-15,SELL,7100,MARKETABLE_LIMIT,6.808000000000001,FILLED,11:30_CLOSE
ORD-7E3BB04961843D056852,DEC-8301277B38CD13307ABA,CYC-BFCF44226BBFD0339C0B,2022-04-27,2022-04-28,BUY,7100,MARKETABLE_LIMIT,6.06,FILLED,OPEN
ORD-F5D5093163334D126221,DEC-8301277B38CD13307ABA,CYC-BFCF44226BBFD0339C0B,2022-04-27,2022-04-28,SELL,7100,MARKETABLE_LIMIT,6.072,FILLED,11:30_CLOSE
ORD-175875CF65F56C4F9E64,DEC-85370ADD608618887A2A,CYC-CEC6FABEF741FCFDD834,2022-04-29,2022-05-05,BUY,7100,MARKETABLE_LIMIT,6.324,FILLED,OPEN
ORD-9E86101FB240AE2DBC45,DEC-85370ADD608618887A2A,CYC-CEC6FABEF741FCFDD834,2022-04-29,2022-05-05,SELL,7100,MARKETABLE_LIMIT,6.435,FILLED,11:30_CLOSE
ORD-874C98194CDD6CD90AFC,DEC-C2BF7CC8003AE9A94CCF,CYC-68CF4EA89356FA17927B,2022-05-10,2022-05-11,BUY,7100,MARKETABLE_LIMIT,6.409,FILLED,OPEN
ORD-1E60F012EA2C2519131B,DEC-C2BF7CC8003AE9A94CCF,CYC-68CF4EA89356FA17927B,2022-05-10,2022-05-11,SELL,7100,MARKETABLE_LIMIT,6.565,FILLED,11:30_CLOSE
ORD-A185452F5D9948D13835,DEC-DD8B22D98B884FBBFD18,CYC-A8BAE3ECE970D6ABB8E8,2022-05-19,2022-05-20,BUY,7100,MARKETABLE_LIMIT,6.596,FILLED,OPEN
ORD-7A2DCF2DCC72E62259B9,DEC-DD8B22D98B884FBBFD18,CYC-A8BAE3ECE970D6ABB8E8,2022-05-19,2022-05-20,SELL,7100,MARKETABLE_LIMIT,6.643,FILLED,11:30_CLOSE
ORD-0B4CF7E05516B9825B7A,DEC-1A484FABD6C34394FD29,CYC-58A0FABFC193DF82056D,2022-05-20,2022-05-23,BUY,7100,MARKETABLE_LIMIT,6.7,FILLED,OPEN
