trial_id,behavior_hash,nearest_points,neighborhood_radius,local_feasible_rate,local_feasible_points
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02647,f7aa54f2c7b19975e2ad36be9b6cdf94ab1d13f3c0b2618aa21174159148eac3,20,0.08721914729761066,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01788,83f0210cdef6a7d51719d1951ff449e66294deb4adff50dd972c9547f7ff1394,20,0.15340493409310074,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02792,f253d85e312888a711105d5ed90cd07dfb54e9a4bdb41de0905739fd8269097e,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02641,c6a5384d0d2a67a463a3b3d5fb7910337485b7b5bbf7857e0906efccffd68bbd,20,0.1226822247718482,0.9,18
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02950,d2ba6564ae6ae6dbf68d637eb1f921b1f84c03217eefdd252133b1ae08feec2a,20,0.12366594496169292,0.9,18
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02587,b8059d636904ad43a35c5560a30969d96fe5ad8a77de52913dbdeda2438ad9b4,20,0.1147132663531546,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02762,6c968a44b780e1e8c0d4f16f7e2fb4d694ba8ce23664fb8daa21cefeb51065f2,20,0.1033742941058306,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02851,76392cf83a694368197a72eedbe944e1a0405578b7ce6e6518fc23f4524ae2a9,20,0.16672638883927582,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02632,3b4ef0b2870d29d4f6a7ec7e64a9ffc99077e9eff40b1f049333d2a2b22cb661,20,0.11933248787051032,0.9,18
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02886,a37637074f2f8b3308993121a1b2e8695edcbf209443440ca2d24cf5aeb968a6,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02910,ad002a87cdc61f82291e0f912b41b7f974bebbe2454f1294d003a0e028fe38b9,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02651,2c5ed23207bacda833fd2bf7a4873c983dbe8b8c28b884f961bd22ccb65bb726,20,0.16672638883927582,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02931,57eaee7a7a99c6cb8e3a2aa1dcc29acba0fc6a1caf9a701204eb012ca5334926,20,0.060653577248359625,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01909,879a130b599523b542a624c22defa20d752640785d60cf9c1945151beb8bc0e4,20,0.13045064904027925,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02219,18e3db6b8e2851d2e68395df28a0000cdaa716719b2b0094b589c1e87bc254b3,20,0.11924007370678247,0.9,18
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02880,82f3935edf09e5642de42eeb06249e2fffa9645e47f7ac5e8333012d4057120b,20,0.11575740933202677,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02992,006e0d3e5ad00aa9f4b13d92a82cfa0f482ecd7704bdf0a02d65f511b95d624b,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02900,1c07a0c29e83cb57e545c693432b05220429a0df518519ecf631b4b77917e7d7,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02928,f3d586deee4eb89f7c6f3e8007a0158c9ff3d1acc4e14a5732af179aa44b6515,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02958,33b74156cefdcfdbd38dcf0eda25b8f7cdc59d150d2bd59b4b321c6ef9a419f7,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02313,861e20d5cfa9019a027f90644958d8920adc35d0fefd036367970a76e19df39e,20,0.15690263205399457,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02741,cd3a6ae52cead5dda44673b3e94d880c3e9379d69399c1af06293b28f41a7fc6,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02747,78ec4f4653a430a26a57f4d24b88528a810027317b0ef2d2c6ed82fd8fad15bc,20,0.06495365865658065,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02940,b666d211746b8b671f58e6154b4306093d61b92458a413872e94155a7ca37c9e,20,0.11086670858737291,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02986,092df58b7a8e4e2852392f6cc6897e6f6e7e2ff25b947dd55c51034cf74ef274,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02008,11c57ca1c69f7353b54d4c3d7c6e503a97524192f97eaeb606c34b37d604154e,20,0.0959901599112456,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01966,434a913c335ff2fe95fca917153f717379ec16eeba0cb3ed33b166cc89b81510,20,0.15690263205399457,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02962,2dde73707f07d3311bc52a39a2a177d920622d6c58523c1602ab87bbefc8a178,20,0.15690263205399457,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02868,849e074ad3ed7a31663958fa6be7205262632c4dc0cf439aef8536ac131dbb3b,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01786,f7e24a87962a6eaa18fbf2378f19fc1c9c220a40bd35afd4202275eff3f52d75,20,0.09960459713933534,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02705,8cf6d32101fc380dc4c469d70b811d9074e60fd5acf230b1ef880b601f3931c4,20,0.14402357648491476,0.85,17
