mechanism,signal_date,event_date,signal_clock,execution_clock,announcement_date,premium_rate,prior_60_premium_q20
ETF_DISCOUNT_REVERSAL,2023-01-30,2023-02-01,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-01-31,-0.0011894377924035,-0.0011283306585151798
ETF_DISCOUNT_REVERSAL,2023-01-31,2023-02-02,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-02-01,-0.0014100350132288,-0.0011085940471647
ETF_DISCOUNT_REVERSAL,2023-02-01,2023-02-03,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-02-02,-0.0020819310301645,-0.0012091744037539798
ETF_DISCOUNT_REVERSAL,2023-02-03,2023-02-06,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-02-04,-0.0013510116878219,-0.0012925011754512398
ETF_DISCOUNT_REVERSAL,2023-02-13,2023-02-15,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-02-14,-0.0016550604253193,-0.0012925011754512398
ETF_DISCOUNT_REVERSAL,2023-03-01,2023-03-03,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-03-02,-0.001666225454319,-0.00131207567095448
ETF_DISCOUNT_REVERSAL,2023-03-03,2023-03-06,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-03-04,-0.0014040561622465,-0.00131207567095448
ETF_DISCOUNT_REVERSAL,2023-03-06,2023-03-08,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-03-07,-0.0018394961651181,-0.00131207567095448
ETF_DISCOUNT_REVERSAL,2023-03-22,2023-03-24,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-03-23,-0.0013038224257457,-0.0012827621996045402
ETF_DISCOUNT_REVERSAL,2023-03-23,2023-03-27,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-03-24,-0.0013913483430305,-0.00128973800801462
ETF_DISCOUNT_REVERSAL,2023-03-27,2023-03-29,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-03-28,-0.0013744727238258,-0.0012977133159534
ETF_DISCOUNT_REVERSAL,2023-04-03,2023-04-06,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-04-04,-0.0015234423579156,-0.0012977133159534
ETF_DISCOUNT_REVERSAL,2023-04-06,2023-04-10,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-04-07,-0.0015072175520921,-0.0013037564899243401
ETF_DISCOUNT_REVERSAL,2023-04-11,2023-04-13,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-04-12,-0.0013975155279503,-0.00131326027816094
ETF_DISCOUNT_REVERSAL,2023-04-12,2023-04-14,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-04-13,-0.0014700193423597,-0.00131326027816094
ETF_DISCOUNT_REVERSAL,2023-04-14,2023-04-17,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-04-15,-0.0016123031129852,-0.0013557038950226799
ETF_DISCOUNT_REVERSAL,2023-04-18,2023-04-20,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-04-19,-0.0015458339774309,-0.00137784784766674
ETF_DISCOUNT_REVERSAL,2023-05-08,2023-05-10,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-05-09,-0.0020243237642857,-0.00131795248536172
ETF_DISCOUNT_REVERSAL,2023-05-17,2023-05-19,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-05-18,-0.0013980102737499,-0.00131795248536172
ETF_DISCOUNT_REVERSAL,2023-06-16,2023-06-19,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-06-17,-0.0025542578997252,-0.00128232259787664
ETF_DISCOUNT_REVERSAL,2023-06-27,2023-06-29,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-06-28,-0.0016426355174301,-0.00125592882406718
ETF_DISCOUNT_REVERSAL,2023-07-03,2023-07-05,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-07-04,-0.0014349073832506,-0.00125592882406718
ETF_DISCOUNT_REVERSAL,2023-07-04,2023-07-06,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-07-05,-0.001415393625848,-0.00128232259787664
ETF_DISCOUNT_REVERSAL,2023-07-06,2023-07-10,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-07-07,-0.0016441959881617,-0.00128232259787664
ETF_DISCOUNT_REVERSAL,2023-08-01,2023-08-03,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-08-02,-0.0012241084946686,-0.0011438597677544602
ETF_DISCOUNT_REVERSAL,2023-08-02,2023-08-04,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-08-03,-0.0012284615135939,-0.00115139699839368
ETF_DISCOUNT_REVERSAL,2023-08-03,2023-08-07,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-08-04,-0.0012886597938144,-0.00115139699839368
ETF_DISCOUNT_REVERSAL,2023-08-11,2023-08-14,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-08-12,-0.0014776934699231,-0.00118595266762172
ETF_DISCOUNT_REVERSAL,2023-08-21,2023-08-23,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-08-22,-0.0011516578716675,-0.00115011394587104
ETF_DISCOUNT_REVERSAL,2023-08-22,2023-08-24,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-08-23,-0.0016929154055301,-0.001156609039506
ETF_DISCOUNT_REVERSAL,2023-08-30,2023-09-01,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-08-31,-0.0013768251432068,-0.00118595266762172
ETF_DISCOUNT_REVERSAL,2023-09-06,2023-09-08,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-09-07,-0.0013730908104625,-0.00122497909845366
ETF_DISCOUNT_REVERSAL,2023-09-08,2023-09-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-09-09,-0.0014444406231729,-0.0012302214298052
ETF_DISCOUNT_REVERSAL,2023-09-11,2023-09-13,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-09-12,-0.0013261246557176,-0.0012378479177098001
ETF_DISCOUNT_REVERSAL,2023-10-11,2023-10-13,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-10-12,-0.0011511092507324,-0.0010171221493560198
ETF_DISCOUNT_REVERSAL,2023-10-23,2023-10-25,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-10-24,-0.0018937284170656,-0.0010612467808944
ETF_DISCOUNT_REVERSAL,2023-10-24,2023-10-26,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-10-25,-0.0016150345030098,-0.00115121897491942
ETF_DISCOUNT_REVERSAL,2023-10-30,2023-11-01,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-10-31,-0.0012042218601686,-0.00116614799626772
ETF_DISCOUNT_REVERSAL,2023-11-06,2023-11-08,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-11-07,-0.0011040428999525,-0.00107805111487392
ETF_DISCOUNT_REVERSAL,2023-11-30,2023-12-04,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-12-01,-0.0010455616792784,-0.0009252863265139799
ETF_DISCOUNT_REVERSAL,2023-12-04,2023-12-06,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-12-05,-0.0009368426634613,-0.0009252863265139799
ETF_DISCOUNT_REVERSAL,2023-12-11,2023-12-13,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-12-12,-0.0009891196834816,-0.00090766642053054
ETF_DISCOUNT_REVERSAL,2023-12-21,2023-12-25,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-12-22,-0.001196502531063,-0.0008594529119263799
ETF_DISCOUNT_REVERSAL,2023-12-25,2023-12-27,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-12-26,-0.0009984468604394,-0.00090766642053054
ETF_DISCOUNT_REVERSAL,2023-12-27,2023-12-29,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-12-28,-0.0010599326849768,-0.00091462829633282
ETF_DISCOUNT_REVERSAL,2024-01-02,2024-01-04,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2024-01-03,-0.0012899474936866,-0.00095087415211208
ETF_DISCOUNT_REVERSAL,2024-01-08,2024-01-10,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2024-01-09,-0.0010845367886295,-0.00093773668462298
ETF_DISCOUNT_REVERSAL,2024-01-09,2024-01-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2024-01-10,-0.0012147900690911,-0.00095087415211208
