signal_date,regime,score,target_position
2024-04-03,range,-0.36912004089570827,0.0
2024-04-08,range,-0.5725061767490567,0.0
2024-04-09,trend,-0.38466459129681957,0.0
2024-04-10,range,-0.36912004089570827,0.0
2024-04-11,range,-0.26742697296903406,0.0
2024-04-12,range,-0.26742697296903406,0.0
2024-04-15,range,-0.08849876477432567,0.0
2024-04-16,range,-0.36912004089570827,0.0
2024-04-17,range,0.06404083711568567,0.0
2024-04-18,range,0.26742697296903417,1.0
2024-04-19,range,-0.12505667787169011,1.0
2024-04-22,range,-0.12505667787169011,1.0
2024-04-23,range,-0.023363609945015906,0.0
2024-04-24,range,0.3081042001397038,1.0
2024-04-25,range,-0.35290074138367866,1.0
2024-04-26,range,0.5114903359930523,1.0
2024-04-29,range,0.45047449523704763,1.0
2024-04-30,range,0.26742697296903406,1.0
2024-05-06,range,0.31840062326727947,1.0
2024-05-07,range,0.43013588165171285,1.0
2024-05-08,range,0.30218132375524986,1.0
2024-05-09,range,0.2777233960966098,1.0
2024-05-10,trend,0.27859267121736075,1.0
2024-05-13,range,0.09866807156699313,1.0
2024-05-14,trend,0.13299961359229678,1.0
2024-05-15,trend,-0.17436350806061604,0.0
2024-05-16,range,-0.09454875749368785,0.0
2024-05-17,range,-0.2979348933470363,0.0
2024-05-20,range,-0.06816015118899077,0.0
2024-05-21,range,-0.24708835938369916,0.0
2024-05-22,range,-0.06816015118899077,0.0
2024-05-23,range,-0.14539529145702496,0.0
2024-05-24,range,-0.24708835938369916,0.0
2024-05-27,range,-0.24708835938369916,0.0
2024-05-28,range,-0.14539529145702496,0.0
2024-05-29,range,-0.24708835938369916,0.0
2024-05-30,range,0.03353291673768344,0.0
2024-05-31,range,0.18607251862769478,1.0
2024-06-03,trend,0.2390715336717556,1.0
2024-06-04,trend,0.22289452726897072,1.0
2024-06-05,range,0.5725061767490567,1.0
2024-06-06,range,0.1393452987376628,1.0
2024-06-07,range,0.06816015118899088,1.0
2024-06-11,range,0.552167563163722,1.0
2024-06-12,range,0.45047449523704763,1.0
2024-06-13,range,0.45047449523704763,1.0
2024-06-14,range,0.6031412134619674,1.0
2024-06-17,range,0.4749324228956877,1.0
2024-06-18,range,0.4749324228956877,1.0
2024-06-19,trend,0.2464408709918258,1.0
2024-06-20,range,0.5725061767490567,1.0
2024-06-21,range,0.552167563163722,1.0
2024-06-24,range,0.06816015118899088,1.0
2024-06-25,range,-0.1657339050423598,0.0
2024-06-26,trend,-0.0934784760466916,0.0
2024-06-27,range,-0.06404083711568559,0.0
2024-06-28,range,-0.24708835938369916,0.0
2024-07-01,range,-0.24708835938369916,0.0
2024-07-02,range,-0.24708835938369916,0.0
2024-07-03,trend,-0.3523105784912498,0.0
2024-07-04,trend,-0.5140806425190987,0.0
2024-07-05,trend,-0.3846645912968196,0.0
2024-07-08,range,-0.14539529145702496,0.0
2024-07-09,range,0.08437945070102056,0.0
2024-07-10,range,0.18607251862769478,1.0
2024-07-11,range,0.33861212051770606,1.0
2024-07-12,range,0.3182735069323712,1.0
2024-07-15,range,0.3182735069323712,1.0
2024-07-16,range,0.4911517224077174,1.0
2024-07-17,range,0.5725061767490567,1.0
2024-07-18,range,0.5725061767490567,1.0
2024-07-19,range,0.42009369119395373,1.0
2024-07-22,range,0.26742697296903406,1.0
2024-07-23,range,0.1393452987376628,1.0
2024-07-24,range,-0.013194303152348485,0.0
2024-07-25,range,-0.013194303152348485,0.0
2024-07-26,range,0.1393452987376628,0.0
2024-07-29,range,-0.36912004089570827,0.0
2024-07-30,trend,-0.25524854007454045,0.0
2024-07-31,trend,0.33654052490578495,1.0
2024-08-01,range,0.49153466036662874,1.0
2024-08-02,range,0.44056101006838333,1.0
2024-08-05,range,-0.043446401906347715,0.0
2024-08-06,trend,-0.30337260646557507,0.0
2024-08-07,range,-0.09429293586968479,0.0
2024-08-08,range,-0.19598600379635905,0.0
2024-08-09,range,-0.09429293586968479,0.0
2024-08-12,range,-0.5725061767490567,0.0
2024-08-13,range,-0.19019183270099987,0.0
2024-08-14,range,-0.26742697296903406,0.0
2024-08-15,range,0.1148873710790228,0.0
2024-08-16,range,-0.06404083711568559,0.0
2024-08-19,range,-0.06404083711568559,0.0
2024-08-20,range,-0.24708835938369916,0.0
2024-08-21,range,-0.24708835938369916,0.0
2024-08-22,range,-0.24708835938369916,0.0
2024-08-23,range,-0.24708835938369916,0.0
2024-08-26,range,-0.20641113221302948,0.0
2024-08-27,trend,-0.3846645912968196,0.0
2024-08-28,trend,-0.3846645912968196,0.0
2024-08-29,trend,-0.05211458157837237,0.0
2024-08-30,trend,0.09347847604669161,0.0
2024-09-02,range,-0.24708835938369916,0.0
2024-09-03,trend,-0.3846645912968196,0.0
2024-09-04,trend,-0.3846645912968196,0.0
2024-09-05,trend,-0.22289452726897072,0.0
2024-09-06,trend,-0.3846645912968196,0.0
2024-09-09,trend,-0.3846645912968196,0.0
2024-09-10,trend,-0.3846645912968196,0.0
2024-09-11,trend,-0.05211458157837237,0.0
2024-09-12,trend,-0.22289452726897072,0.0
2024-09-13,trend,-0.5140806425190987,0.0
