factor,exact_match,closest_reference,max_abs_correlation
cross__cxt_decision_V240526__di_1__daily_weekly::开多,False,raw__daily__cxt_five_bi_V230619__di_1,0.11496702203325913
cross__cxt_decision_V240526__di_1__all::开多,False,raw__weekly__cxt_bi_status_V230101,0.051402328163744446
cross__cxt_decision_V240526__di_1__30m_daily::开空,False,raw__daily__pressure_support_V240406__di_1__w_20,0.12796621453416984
cross__cxt_decision_V240526__di_1__30m_daily_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.04838925531387934
cross__cxt_decision_V240526__di_1__daily_weekly_divergence,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.0782526018022334
cross__cxt_decision_V240612__di_1__30m_daily::开多,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.14706753751110643
cross__cxt_decision_V240612__di_1__daily_weekly::开多,False,raw__daily__cxt_five_bi_V230619__di_1,0.12350622262212184
cross__cxt_decision_V240612__di_1__all::开多,False,raw__daily__cxt_five_bi_V230619__di_1,0.07474982172115768
cross__cxt_decision_V240612__di_1__30m_daily::开空,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.17777162896267712
cross__cxt_decision_V240612__di_1__daily_weekly::开空,False,raw__daily__cxt_five_bi_V230619__di_1,0.052813599909215615
cross__cxt_decision_V240612__di_1__all::开空,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.042856320528598155
cross__cxt_decision_V240612__di_1__30m_daily_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.08024989061906819
cross__cxt_decision_V240612__di_1__daily_weekly_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.09363871712615597
cross__cxt_decision_V240613__di_1__daily_weekly::开多,False,raw__daily__cxt_five_bi_V230619__di_1,0.21074298110620854
cross__cxt_decision_V240613__di_1__30m_daily_divergence,False,raw__30m__cxt_third_buy_V230228__di_1,0.06426115435297314
cross__cxt_decision_V240613__di_1__daily_weekly_divergence,False,raw__daily__cxt_bi_status_V230101,0.13885461064134386
cross__cxt_decision_V240614__di_1__30m_daily::开多,False,raw__daily__cxt_seven_bi_V230620__di_1,0.10115407262941775
cross__cxt_decision_V240614__di_1__daily_weekly::开多,False,raw__daily__cxt_five_bi_V230619__di_1,0.14022265103973197
cross__cxt_decision_V240614__di_1__daily_weekly::开空,False,raw__daily__cxt_bi_status_V230101,0.044881325225922634
cross__cxt_decision_V240614__di_1__30m_daily_divergence,False,raw__30m__cxt_third_buy_V230228__di_1,0.09873845527448452
cross__cxt_decision_V240614__di_1__daily_weekly_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.0883128419898166
cross__cxt_double_zs_V230311__di_1__30m_daily::看多,False,raw__daily__cxt_bi_status_V230101,0.09520266117796171
cross__cxt_double_zs_V230311__di_1__daily_weekly::看多,False,raw__daily__cxt_five_bi_V230619__di_1,0.10588285295515487
cross__cxt_double_zs_V230311__di_1__30m_daily::看空,False,raw__daily__cxt_bi_status_V230101,0.03172314151844091
cross__cxt_double_zs_V230311__di_1__daily_weekly::看空,False,raw__daily__cxt_five_bi_V230619__di_1,0.06639970713223864
cross__cxt_double_zs_V230311__di_1__30m_daily_divergence,False,raw__30m__cxt_third_buy_V230228__di_1,0.0921522316838671
cross__cxt_double_zs_V230311__di_1__daily_weekly_divergence,False,raw__daily__cxt_seven_bi_V230620__di_1,0.10981955506739312
cross__cxt_eleven_bi_V230622__di_1__30m_daily_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.13334569410931507
cross__cxt_eleven_bi_V230622__di_1__daily_weekly_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.24856757014105296
cross__cxt_first_buy_V221126__di_1__30m_daily::一买,False,raw__daily__cxt_five_bi_V230619__di_1,0.0528135999092157
cross__cxt_first_buy_V221126__di_1__30m_daily_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.23292551110662257
cross__cxt_first_buy_V221126__di_1__daily_weekly_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.33425730667708325
cross__cxt_first_sell_V221126__di_1__30m_daily_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.19578057202011806
cross__cxt_first_sell_V221126__di_1__daily_weekly_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.27908742804785464
cross__cxt_five_bi_V230619__di_1__30m_daily::上颈线突破,False,raw__daily__cxt_bi_status_V230101,0.07908522514459618
cross__cxt_five_bi_V230619__di_1__30m_daily::下颈线突破,False,raw__daily__cxt_seven_bi_V230620__di_1,0.11380552003048203
cross__cxt_five_bi_V230619__di_1__daily_weekly::下颈线突破,False,raw__daily__cxt_seven_bi_V230620__di_1,0.21961475125253513
cross__cxt_five_bi_V230619__di_1__all::下颈线突破,False,raw__daily__cxt_seven_bi_V230620__di_1,0.08280631631654563
cross__cxt_five_bi_V230619__di_1__30m_daily_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.1690849502051868
cross__cxt_five_bi_V230619__di_1__daily_weekly_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.21438290903467702
cross__cxt_fx_power_V221107__di_1__30m_daily::中底,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.17823682839001806
cross__cxt_fx_power_V221107__di_1__daily_weekly::中底,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.18388129045263246
cross__cxt_fx_power_V221107__di_1__all::中底,False,raw__daily__pressure_support_V240406__di_1__w_20,0.14062285323817345
cross__cxt_fx_power_V221107__di_1__30m_daily::中顶,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.19596138388481
cross__cxt_fx_power_V221107__di_1__daily_weekly::中顶,False,target_position,0.20008998472132308
cross__cxt_fx_power_V221107__di_1__all::中顶,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.12344039710225921
cross__cxt_fx_power_V221107__di_1__30m_daily::弱底,False,raw__30m__cxt_third_buy_V230228__di_1,0.059665458006626634
cross__cxt_fx_power_V221107__di_1__daily_weekly::弱底,False,raw__30m__cxt_bi_status_V230101,0.10956757531243001
cross__cxt_fx_power_V221107__di_1__all::弱底,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.06216178415943007
cross__cxt_fx_power_V221107__di_1__30m_daily::弱顶,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.08201535775871283
cross__cxt_fx_power_V221107__di_1__daily_weekly::弱顶,False,raw__weekly__cxt_bi_status_V230101,0.11264070021560732
cross__cxt_fx_power_V221107__di_1__all::弱顶,False,raw__weekly__cxt_bi_status_V230101,0.05402532762559786
cross__cxt_fx_power_V221107__di_1__30m_daily::强底,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.19604478991467217
cross__cxt_fx_power_V221107__di_1__daily_weekly::强底,False,raw__daily__pressure_support_V240406__di_1__w_20,0.10663125806613816
cross__cxt_fx_power_V221107__di_1__all::强底,False,raw__daily__pressure_support_V240406__di_1__w_20,0.06953590563223995
cross__cxt_fx_power_V221107__di_1__30m_daily::强顶,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.12296777375921679
cross__cxt_fx_power_V221107__di_1__daily_weekly::强顶,False,target_position,0.18802287102701407
cross__cxt_fx_power_V221107__di_1__all::强顶,False,raw__30m__cxt_bi_status_V230101,0.04736538064478181
cross__cxt_fx_power_V221107__di_1__30m_daily_divergence,False,target_position,0.07254231373852897
cross__cxt_fx_power_V221107__di_1__daily_weekly_divergence,False,target_position,0.15138321245898556
cross__cxt_nine_bi_V230621__di_1__30m_daily_divergence,False,raw__daily__cxt_seven_bi_V230620__di_1,0.11812275012210913
cross__cxt_nine_bi_V230621__di_1__daily_weekly_divergence,False,raw__daily__cxt_seven_bi_V230620__di_1,0.14708250564380132
cross__cxt_overlap_V240526__di_1__30m_daily::顶重合0次,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.45037537546811374
cross__cxt_overlap_V240526__di_1__daily_weekly::顶重合0次,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.24629864505629476
cross__cxt_overlap_V240526__di_1__all::顶重合0次,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.33211079704823787
cross__cxt_overlap_V240526__di_1__30m_daily::顶重合1次,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.20925100015348966
cross__cxt_overlap_V240526__di_1__daily_weekly::顶重合1次,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.1409072823294654
cross__cxt_overlap_V240526__di_1__all::顶重合1次,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.10713471284927802
cross__cxt_overlap_V240526__di_1__30m_daily::顶重合2次,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.08120358887111546
cross__cxt_overlap_V240526__di_1__30m_daily_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.33279749168569106
cross__cxt_overlap_V240526__di_1__daily_weekly_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.17620068142792478
cross__cxt_overlap_V240612__di_1__30m_daily::支撑,False,raw__weekly__cxt_bi_status_V230101,0.031166473934249858
cross__cxt_overlap_V240612__di_1__daily_weekly::支撑,False,raw__daily__cxt_five_bi_V230619__di_1,0.15911420384485583
cross__cxt_overlap_V240612__di_1__30m_daily_divergence,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.12687121478873967
cross__cxt_overlap_V240612__di_1__daily_weekly_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.10131203703023964
