window,regime,position_combination,path_mechanism,trading_days,market_return_sum,baseline_exposure,ex04_exposure,baseline_daily_return_sum,ex04_daily_return_sum,daily_return_delta_sum,log_wealth_delta
2025H1,sideways,both_cash,both_cash,34,0.0023836832985937306,0.0,0.0,-0.01201040417534116,-0.011036232635380117,0.000974171539961044,0.000974184197843417
2025H1,sideways,both_long,both_long,57,0.10064017476787435,1.0,1.0,0.11225973235811604,0.11114341681712292,-0.001116315540993118,-0.001070552436649279
2025H1,uptrend,both_long,both_long,6,-0.0421571736306563,1.0,1.0,-0.042157173630656075,-0.042157173630656075,0.0,0.0
2025H1,sideways,baseline_only,early_exit,2,-0.027664417449606793,1.0,0.0,-0.027664417449606682,0.005713587921847507,0.03337800537145419,0.03361449373572286
2025H1,uptrend,both_cash,both_cash,1,-0.011796733212341315,0.0,0.0,0.0,0.0,0.0,0.0
2025H1,sideways,baseline_only,interrupted_holding,5,0.02089948898812255,1.0,0.0,0.02089948898812244,0.0014370155038760934,-0.019462473484246345,-0.019234972963682595
2025H1,sideways,ex04_only,ex04_only,1,-0.009652509652509633,0.0,1.0,-0.000500000000000056,-0.009652509652509633,-0.009152509652509577,-0.009199272047031151
2025H1,downtrend,both_cash,both_cash,4,0.010100265659674479,0.0,0.0,0.0,0.0,0.0,0.0
2025H1,downtrend,both_long,both_long,4,-0.0029950392480421195,1.0,1.0,-0.0029950392480422305,-0.0029950392480421195,1.1102230246251565e-16,1.1080546202801855e-16
2025H1,downtrend,baseline_only,interrupted_holding,3,-0.004992610937608055,1.0,0.0,-0.004992610937608166,-0.0025050150451353392,0.002487595892472827,0.0025195048320378567
2025H2,sideways,both_long,both_long,50,0.09915047662286669,1.0,1.0,0.10576423048281336,0.1057642304828138,4.440892098500626e-16,4.421376459395887e-16
2025H2,uptrend,both_long,both_long,40,0.26820895408907786,1.0,1.0,0.26820895408907763,0.2502718820113996,-0.01793707207767803,-0.017833642369851556
2025H2,uptrend,baseline_only,early_exit,2,0.0028469189149573637,1.0,0.0,0.0028469189149574747,-0.006699517574086933,-0.009546436489044408,-0.009474986802380916
2025H2,uptrend,both_cash,both_cash,20,-0.1261771456804699,0.0,0.0,-0.011894018174260279,-0.007217069892473282,0.004676948281786997,0.0046879194254154525
2025H2,uptrend,baseline_only,late_entry,3,0.040043322019502,1.0,0.0,0.049419075452887706,0.0,-0.049419075452887706,-0.04842479716483937
2025H2,sideways,both_cash,both_cash,8,0.04862403813015759,0.0,0.0,-0.004401306240928604,-0.00390130624092877,0.0004999999999998339,0.0005001250416821318
2025H2,sideways,baseline_only,fully_missed_entry,3,-0.0079430156310486,1.0,0.0,-0.004794428485506708,0.0,0.004794428485506708,0.004937752147696279
