hypothesis_id,exit_clock,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M05,15:00,2026,63,-0.0007542508246334042,0.002240905743579935,0.5555555555555556,0.9051930441316569,-0.05993660936154854,-0.19384242088774495,-0.309202748743311
M06,15:00,2021,107,-0.0002058426888992084,0.0007641020554756128,0.5327102803738317,0.9565815142202911,-0.02997158017576651,-0.10242706037299465,-0.29261388608267286
M06,15:00,2022,107,-0.0016617762502652332,1.0653813647509836e-05,0.5046728971962616,0.7447926548379002,-0.1746847202962143,-0.18707616927667714,-0.9337625469434514
M06,15:00,2023,103,-0.0011073984742492736,-0.0003801884852357995,0.4563106796116505,0.7432461936053486,-0.11204278845175608,-0.18557367645931833,-0.6037644486518444
M06,15:00,2024,107,-0.0012371488677682466,-0.0017593556015922385,0.4205607476635514,0.826618972831723,-0.14503378466370986,-0.2163743551364572,-0.6702910082493087
M06,15:00,2025,104,0.0019251453476543346,0.0001925029877295481,0.5192307692307693,1.550661879823332,0.212357351610877,-0.052176843357467195,4.069953986215723
M06,15:00,2026,71,-0.0004520167284628154,-0.0005570474587676122,0.49295774647887325,0.9438602140471111,-0.04527053035517026,-0.14099053212522228,-0.32108915168121177
M07,15:00,2021,116,0.00041489156572170854,0.0019822021273935286,0.5689655172413793,1.099464162761788,0.0412532346345178,-0.10917988903174458,0.3778464605557826
M07,15:00,2022,113,-0.0022831612421975386,-0.0010377144790446602,0.4336283185840708,0.6540114666821211,-0.23745880212168213,-0.2316160187543067,-1.0252261626756192
M07,15:00,2023,114,-0.0008011894531456666,-0.0009559619268221242,0.4298245614035088,0.8002485292386703,-0.09207407748848362,-0.15091216477264613,-0.6101170016823765
M07,15:00,2024,117,0.0004873691188503589,-0.001199280431741001,0.452991452991453,1.0663970979937107,0.026240911231081077,-0.20360153981895268,0.12888365802348606
M07,15:00,2025,113,0.0022364989746768917,0.0022416240202638438,0.5752212389380531,1.5108837525979883,0.27246006277620727,-0.08885085815026916,3.0664876901403555
M07,15:00,2026,79,-0.001065606179237861,0.001876864878466833,0.5189873417721519,0.8745563055779663,-0.09526729378490084,-0.20808981765918366,-0.457818142456796
