hypothesis_id,exit_bars,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M02,12,2025,145,-0.0008823276078596385,-0.0008532555851903378,0.4206896551724138,0.5947008969286661,-0.12163769357904164,-0.1158466804074314,-1.049988598302889
M02,12,2026,101,-0.002535830652960862,-0.0024880555537645233,0.3564356435643564,0.41362210165403956,-0.22873580513789216,-0.23508612466734946,-0.9729872635467401
M03,12,2021,148,-0.0008091264260155885,-0.0008573343584196147,0.42567567567567566,0.6184509597641378,-0.11416281692542785,-0.11476617902115005,-0.9947426837691354
M03,12,2022,147,-0.0015003375458750236,-0.001833761895067454,0.32653061224489793,0.476986405358977,-0.19991454381675644,-0.1942051660245394,-1.0293986916470368
M03,12,2023,160,-0.0016093654233564742,-0.0015161512761234786,0.2625,0.24028869729735688,-0.22772104512637503,-0.22713985222296385,-1.002558744745685
M03,12,2024,162,-0.0011221159765712797,-0.001599071649687922,0.35185185185185186,0.6031901042865007,-0.16921446625295666,-0.17046291126410174,-0.9926761487182931
M03,12,2025,152,-0.0009594003694594454,-0.0009246263788855735,0.40131578947368424,0.521532668302106,-0.13680254962789007,-0.14006799091810485,-0.9766867414259978
M03,12,2026,105,-0.0016626637856934847,-0.002147246472380071,0.4095238095238095,0.5513005342690493,-0.1626301533875203,-0.19135104570640826,-0.8499047015245753
M04,12,2021,166,-0.0011280090465315793,-0.001069702373271142,0.40963855421686746,0.4992623713000401,-0.1721269582700592,-0.1835635903008901,-0.9376966204894749
M04,12,2022,147,-0.0018494120103400402,-0.0015390085676486587,0.3673469387755102,0.4195080468213072,-0.23994035427178106,-0.2350538863059406,-1.0207887137823382
M04,12,2023,156,-0.0013450202854031236,-0.0016680909337732919,0.2948717948717949,0.4079164746146892,-0.19028342732317027,-0.20505450998867303,-0.9279650924706865
M04,12,2024,146,3.314519491706805e-05,-0.0011992804317409456,0.4246575342465753,1.0117140944528193,0.00043243322225205993,-0.10939327614249328,0.003953014641309233
M04,12,2025,173,-0.0011124996142530062,-0.001199280431741001,0.37572254335260113,0.54509829454017,-0.17672459335462376,-0.16935667091871565,-1.0435053570428556
