path_id,factor_name,direction,holding_sessions,closed_events,closed_events_per_60_sessions,mean_net_return,median_net_return,win_rate,profit_factor,worst_event,positive_years,observed_years,baseline_conflict_rate,screen_pass
P053,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,REVERSAL,5,29,1.2663755458515285,-0.013022006718035972,-0.0203975682061881,0.20689655172413793,0.36068840365532057,-0.060262241760475566,1,6,0.3793103448275862,False
P054,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,REVERSAL,10,27,1.1790393013100438,-0.01141484287519312,-0.004399774244940091,0.37037037037037035,0.5117022988562006,-0.11190097668749988,1,6,0.5925925925925926,False
P055,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,CONTINUATION,3,26,1.1353711790393013,-0.0020464092740903753,-0.0021407327852604463,0.5,0.8366590937433745,-0.06256581011819662,2,6,0.4230769230769231,False
P056,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,CONTINUATION,5,26,1.1353711790393013,0.0026645748673395898,-0.009785783483768462,0.46153846153846156,1.2270316146051778,-0.03648797270991466,3,6,0.5384615384615384,False
P057,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,CONTINUATION,10,23,1.0043668122270741,0.013604392736146702,-0.0035976810034514806,0.43478260869565216,1.613360507001522,-0.11190097668749988,1,5,0.6956521739130435,False
P058,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,REVERSAL,3,15,0.6550218340611353,-0.00638462211703968,-0.014319506913209934,0.2,0.4764757210657835,-0.029394863291868134,1,5,0.2,False
P059,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,REVERSAL,5,15,0.6550218340611353,-0.018047988631029875,-0.006496064209985719,0.4,0.19281960071279924,-0.0923366887984578,1,5,0.4,False
P060,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,REVERSAL,10,15,0.6550218340611353,-0.02158212687251735,-0.03438855438590871,0.26666666666666666,0.23682042212167906,-0.06343703148425772,0,5,0.6666666666666666,False
P061,raw__daily__pressure_support_V240406__di_1__w_20,CONTINUATION,3,26,1.1353711790393013,-0.004426260497636989,-0.01013732691970326,0.34615384615384615,0.6563728126555247,-0.049421913394139594,2,6,0.23076923076923078,False
P062,raw__daily__pressure_support_V240406__di_1__w_20,CONTINUATION,5,24,1.0480349344978166,0.0009759042727357364,-0.004561667089550803,0.4166666666666667,1.112399284555038,-0.03719517053067656,2,6,0.25,False
P063,raw__daily__pressure_support_V240406__di_1__w_20,CONTINUATION,10,20,0.8733624454148472,-0.016948855121654664,-0.01959909181386249,0.2,0.27731225593288095,-0.08924454439446938,1,6,0.5,False
P064,raw__daily__pressure_support_V240406__di_1__w_20,REVERSAL,3,2,0.08733624454148471,0.0007916200616521207,0.0007916200616521207,0.5,1.4977609183269966,-0.0031807240484560406,1,1,1.0,False
P065,raw__daily__pressure_support_V240406__di_1__w_20,REVERSAL,5,2,0.08733624454148471,0.0023890868500359708,0.0023890868500359708,0.5,123.76013082504626,-3.8922846269051625e-05,1,1,1.0,False
P066,raw__daily__pressure_support_V240406__di_1__w_20,REVERSAL,10,2,0.08733624454148471,0.040536733578681594,0.040536733578681594,0.5,4.829345379903295,-0.02117162572559872,1,1,1.0,False
P067,raw__weekly__cxt_bi_status_V230101,CONTINUATION,3,8,0.34934497816593885,-0.006958388833838078,-0.006825285392009384,0.375,0.48684690211902537,-0.05033285826222689,1,4,0.25,False
P068,raw__weekly__cxt_bi_status_V230101,CONTINUATION,5,8,0.34934497816593885,-0.004233183079181205,-0.004256100201861013,0.5,0.704131004591797,-0.04624408810087699,2,4,0.375,False
P069,raw__weekly__cxt_bi_status_V230101,CONTINUATION,10,8,0.34934497816593885,-0.007035718274580799,0.002185754852678079,0.5,0.6038422455708061,-0.05156619221253578,1,4,0.875,False
P070,raw__weekly__cxt_bi_status_V230101,REVERSAL,3,7,0.3056768558951965,-0.018135922389009313,-0.0180069106823344,0.14285714285714285,0.07639658064768931,-0.04056387647760262,0,5,0.2857142857142857,False
P071,raw__weekly__cxt_bi_status_V230101,REVERSAL,5,7,0.3056768558951965,-0.015809598926647923,-0.020075181645386575,0.14285714285714285,0.027566152352433756,-0.037936378795812464,1,5,0.7142857142857143,False
P072,raw__weekly__cxt_bi_status_V230101,REVERSAL,10,7,0.3056768558951965,-0.007973410607373,0.004474475091221564,0.5714285714285714,0.7078520271132311,-0.12348232014261051,3,5,0.8571428571428571,False
