date,R1102,S001-v1,R0539,R1319
2023-12-11,0.01876386912956418,0.018764705962976302,0.018764613770250627,0.018764891057628796
2023-12-12,-0.007785971236621836,-0.007786312080517832,-0.00778627453026659,-0.007786387469858491
2023-12-13,-0.01121009754939628,-0.011210592141186915,-0.011210537652748487,-0.011210701537203938
2023-12-14,0.00629894195218661,-0.005668847204513994,0.006299192049519897,-0.005668903149858351
2023-12-15,0.0,-0.007981632742780964,0.0,-0.007981711961883686
2023-12-18,0.0,-0.003946490296503624,0.0,-0.009195351172312849
2023-12-19,0.0,0.0,0.0,-0.002819009702765163
2023-12-20,0.0,0.0,0.0,0.0
2023-12-21,0.0,0.0,0.0,0.0
2023-12-22,0.0,0.0,0.0,0.0
2023-12-25,-0.006290477014778029,0.0,-0.006290246364739183,0.0
2023-12-26,-0.016316701921964105,0.0,-0.016316099857797584,0.0
2023-12-27,0.005924054576248672,0.0,0.005923832360984704,0.0
2023-12-28,-0.0004999902639124532,0.0,-0.0004999716193889725,0.0
2023-12-29,0.002950660012342343,0.002950692954975187,0.0029505789791792747,0.002950678543323537
2024-01-02,-0.012614216156898506,-0.012614356573940722,-0.012613870755289969,-0.01261429514468404
2024-01-03,-0.011613970366182946,-0.011614101300490787,-0.011613648290616951,-0.01161404401970978
2024-01-04,-0.0028488940867813506,-0.00822540155726692,-0.0028488141536863187,-0.008225360512871371
2024-01-05,0.0,-0.0028684076865004293,0.0,-0.0028683932545630064
2024-01-08,0.0,0.0,0.0,0.0
2024-01-09,0.0,0.0,0.0,0.0
2024-01-10,0.0,0.0,0.0,0.0
2024-01-11,0.0,0.0,0.0,0.0
2024-01-12,0.0,0.0,0.0,0.0
2024-01-15,0.0,0.0,0.0,0.0
2024-01-16,0.0,0.0,0.0,0.0
2024-01-17,0.0,0.0,0.0,0.0
2024-01-18,0.0,0.0,0.0,0.0
2024-01-19,0.0,0.0,0.0,0.0
2024-01-22,0.0,0.0,0.0,0.0
2024-01-23,0.0,0.0,0.0,0.0
2024-01-24,0.0,0.0,0.0,0.0
2024-01-25,0.0,0.0,0.0,0.0
2024-01-26,0.0,0.0,0.0,0.0
2024-01-29,0.0,0.0,0.0,0.0
2024-01-30,0.0,0.0,0.0,0.0
2024-01-31,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0
2024-02-02,0.0,0.0,0.0,0.0
